,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:52.072,7
5,2,Ralf Schumacher,Williams BMW,1:52.959,10
1,3,Michael Schumacher,Ferrari,1:54.685,8
22,4,Heinz-Harald Frentzen,Prost Acer,1:55.233,10
2,5,Rubens Barrichello,Ferrari,1:56.116,7
10,6,Jacques Villeneuve,BAR Honda,1:57.038,11
3,7,Mika Hakkinen,McLaren Mercedes,1:57.043,12
7,8,Giancarlo Fisichella,Benetton Renault,1:57.668,7
4,9,David Coulthard,McLaren Mercedes,1:58.008,10
19,10,Pedro de la Rosa,Jaguar Cosworth,1:58.519,11
9,11,Olivier Panis,BAR Honda,1:58.838,8
17,12,Kimi Räikkönen,Sauber Petronas,1:59.050,8
12,13,Jean Alesi,Jordan Honda,1:59.128,10
16,14,Nick Heidfeld,Sauber Petronas,1:59.302,9
8,15,Jenson Button,Benetton Renault,1:59.587,7
11,16,Jarno Trulli,Jordan Honda,1:59.647,10
18,17,Eddie Irvine,Jaguar Cosworth,1:59.689,9
23,18,Luciano Burti,Prost Acer,1:59.900,7
14,19,Jos Verstappen,Arrows Asiatech,2:02.039,10
21,20,Fernando Alonso,Minardi European,2:02.594,8
15,21,Enrique Bernoldi,Arrows Asiatech,2:03.048,10
20,22,Tarso Marques,Minardi European,2:04.204,10
