,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,7,1:49.758,228.546
5,2,Ralf Schumacher,Williams BMW,25,1:51.058,225.871
4,3,David Coulthard,McLaren Mercedes,35,1:51.608,224.758
7,4,Giancarlo Fisichella,Benetton Renault,14,1:51.725,224.522
3,5,Mika Hakkinen,McLaren Mercedes,13,1:51.741,224.490
2,6,Rubens Barrichello,Ferrari,24,1:51.776,224.420
11,7,Jarno Trulli,Jordan Honda,8,1:51.828,224.315
12,8,Jean Alesi,Jordan Honda,9,1:51.996,223.979
10,9,Jacques Villeneuve,BAR Honda,15,1:52.372,223.229
9,10,Olivier Panis,BAR Honda,28,1:52.533,222.910
8,11,Jenson Button,Benetton Renault,21,1:53.409,221.188
17,12,Kimi Räikkönen,Sauber Petronas,2,1:53.595,220.826
22,13,Heinz-Harald Frentzen,Prost Acer,19,1:54.051,219.943
14,14,Jos Verstappen,Arrows Asiatech,8,1:54.095,219.858
15,15,Enrique Bernoldi,Arrows Asiatech,8,1:55.196,217.757
16,16,Nick Heidfeld,Sauber Petronas,4,1:55.805,216.612
6,17,Juan Pablo Montoya,Williams BMW,4,1:55.832,216.561
23,18,Luciano Burti,Prost Acer,3,1:56.083,216.093
19,19,Pedro de la Rosa,Jaguar Cosworth,4,1:56.158,215.954
20,20,Tarso Marques,Minardi European,12,1:56.484,215.349
18,21,Eddie Irvine,Jaguar Cosworth,2,1:56.746,214.866
21,22,Fernando Alonso,Minardi European,2,1:59.814,209.364
