,Position,Driver,Car,Laps,Time,Points
2,1,Alberto Ascari,Ferrari,90,2:53:35.800,8
6,2,Nino Farina,Ferrari,90,+10.400s,6
16,3,Jose Froilan Gonzalez,Maserati,89,+1 lap,2
8,4,Mike Hawthorn,Ferrari,89,+1 lap,3
18,5,Toulo de Graffenried,Maserati,88,+2 laps,2
24,6,Maurice  Trintignant,Gordini,87,+3 laps,0
10,7,Louis  Rosier,Ferrari,86,+4 laps,0
36,8,Peter Collins,HWM Alta,84,+6 laps,0
34,9,Stirling Moss,Connaught Lea Francis,83,+7 laps,0
4,NC,Luigi  Villoresi,Ferrari,67,DNF,1
28,NC,Kenneth McAlpine,Connaught Lea Francis,63,DNF,0
20,NC,Harry Schell,Gordini,59,DNF,0
30,NC,Johnny Claes,Connaught Lea Francis,52,DNC,0
12,NC,Juan Manuel Fangio,Maserati,36,DNF,0
22,NC,Roberto Mieres,Gordini,28,DNF,0
14,NC,Jose Froilan Gonzalez,Maserati,22,DNF,0
32,NC,Ken  Wharton,Cooper Bristol,19,DNF,0
26,NC,Roy Salvadori,Connaught Lea Francis,14,DNF,0
38,NC,Lance Macklin,HWM Alta,7,DNF,0
