,Position,Driver,Car,Time / Gap,Laps
2,1,Mark Webber,Red Bull Racing Renault,1:50.321,22
5,2,Fernando Alonso,Ferrari,+0.140s,19
4,3,Jenson Button,McLaren Mercedes,+0.449s,9
3,4,Lewis Hamilton,McLaren Mercedes,+0.517s,9
6,5,Felipe Massa,Ferrari,+0.897s,15
8,6,Nico Rosberg,Mercedes,+0.921s,23
17,7,Sergio Perez,Sauber Ferrari,+1.334s,21
14,8,Nico Hulkenberg,Force India Mercedes,+1.404s,18
15,9,Paul di Resta,Force India Mercedes,+1.430s,9
1,10,Sebastian Vettel,Red Bull Racing Renault,+1.469s,13
7,11,Michael Schumacher,Mercedes,+1.601s,23
12,12,Pastor Maldonado,Williams Cosworth,+2.429s,20
16,13,Kamui Kobayashi,Sauber Ferrari,+2.459s,26
19,14,Jaime Alguersuari,STR Ferrari,+2.590s,25
18,15,Sebastien Buemi,STR Ferrari,+2.688s,25
11,16,Rubens Barrichello,Williams Cosworth,+2.835s,17
9,17,Bruno Senna,Renault,+3.514s,21
21,18,Jarno Trulli,Lotus Renault,+4.730s,20
24,19,Timo Glock,Virgin Cosworth,+5.173s,23
20,20,Heikki Kovalainen,Lotus Renault,+5.881s,15
25,21,Jerome d'Ambrosio,Virgin Cosworth,+6.495s,21
23,22,Vitantonio Liuzzi,HRT Cosworth,+7.129s,19
22,23,Daniel Ricciardo,HRT Cosworth,+7.291s,24
10,24,Vitaly Petrov,Renault,+11.913s,12
