,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,33,1:49.883,229.465
4,2,Jenson Button,McLaren Mercedes,39,1:50.062,229.092
11,3,Rubens Barrichello,Williams Cosworth,42,1:50.424,228.341
1,4,Sebastian Vettel,Red Bull Racing Renault,36,1:50.451,228.285
5,5,Fernando Alonso,Ferrari,41,1:51.107,226.937
7,6,Michael Schumacher,Mercedes,34,1:51.137,226.876
6,7,Felipe Massa,Ferrari,42,1:51.564,226.008
8,8,Nico Rosberg,Mercedes,39,1:52.263,224.601
10,9,Vitaly Petrov,Renault,34,1:52.432,224.263
14,10,Adrian Sutil,Force India Mercedes,33,1:52.591,223.946
15,11,Paul di Resta,Force India Mercedes,32,1:53.223,222.696
12,12,Pastor Maldonado,Williams Cosworth,43,1:53.362,222.423
9,13,Bruno Senna,Renault,39,1:53.585,221.987
16,14,Kamui Kobayashi,Sauber Ferrari,35,1:53.871,221.429
20,15,Heikki Kovalainen,Lotus Renault,35,1:54.051,221.080
17,16,Sergio Perez,Sauber Ferrari,26,1:54.244,220.706
21,17,Jarno Trulli,Lotus Renault,38,1:54.571,220.076
3,18,Lewis Hamilton,McLaren Mercedes,8,1:55.647,218.029
25,19,Jerome d'Ambrosio,Virgin Cosworth,38,1:56.319,216.769
24,20,Timo Glock,Virgin Cosworth,37,1:56.540,216.358
18,21,Sebastien Buemi,STR Ferrari,4,1:56.790,215.895
23,22,Vitantonio Liuzzi,HRT Cosworth,42,1:58.061,213.570
22,23,Daniel Ricciardo,HRT Cosworth,10,1:59.831,210.416
