,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Felipe Massa,Ferrari,1:21.375,1:20.597,1:21.421,17
1,2,Fernando Alonso,McLaren Mercedes,1:21.609,1:20.797,1:21.451,17
6,3,Kimi Räikkönen,Ferrari,1:21.802,1:20.741,1:21.723,17
2,4,Lewis Hamilton,McLaren Mercedes,1:21.120,1:20.713,1:21.785,17
10,5,Robert Kubica,Sauber BMW,1:21.941,1:21.381,1:22.253,21
12,6,Jarno Trulli,Toyota,1:22.501,1:21.554,1:22.324,25
9,7,Nick Heidfeld,Sauber BMW,1:21.625,1:21.113,1:22.389,18
4,8,Heikki Kovalainen,Renault,1:21.790,1:21.623,1:22.568,23
14,9,David Coulthard,Red Bull Renault,1:22.491,1:21.488,1:22.749,22
3,10,Giancarlo Fisichella,Renault,1:22.064,1:21.677,1:22.881,23
16,11,Nico Rosberg,Williams Toyota,1:21.943,1:21.968,,13
8,12,Rubens Barrichello,Honda,1:22.502,1:22.097,,12
22,13,Takuma Sato,Super Aguri Honda,1:22.090,1:22.115,,9
7,14,Jenson Button,Honda,1:22.503,1:22.120,,12
23,15,Anthony Davidson,Super Aguri Honda,1:22.295,DNF,,10
18,16,Vitantonio Liuzzi,STR Ferrari,1:22.508,,,7
11,17,Ralf Schumacher,Toyota,1:22.666,,,7
17,18,Alexander Wurz,Williams Toyota,1:22.769,,,7
15,19,Mark Webber,Red Bull Renault,1:23.398,,,3
20,20,Adrian Sutil,Spyker Ferrari,1:23.811,,,8
21,21,Christijan Albers,Spyker Ferrari,1:23.990,,,8
19,22,Scott Speed,STR Ferrari,DNF,,,2
