,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,63,1:28:32.430,26
77,2,Valtteri Bottas,Mercedes,63,+5.783s,18
3,3,Daniel Ricciardo,Renault,63,+14.320s,15
26,4,Daniil Kvyat,AlphaTauri Honda,63,+15.141s,12
16,5,Charles Leclerc,Ferrari,63,+19.111s,10
11,6,Sergio Perez,Racing Point BWT Mercedes,63,+19.652s,8
55,7,Carlos Sainz,McLaren Renault,63,+20.230s,6
4,8,Lando Norris,McLaren Renault,63,+21.131s,4
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,63,+22.224s,2
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,63,+26.398s,1
6,11,Nicholas Latifi,Williams Mercedes,63,+27.135s,0
5,12,Sebastian Vettel,Ferrari,63,+28.453s,0
18,13,Lance Stroll,Racing Point BWT Mercedes,63,+29.163s,0
8,14,Romain Grosjean,Haas Ferrari,63,+32.935s,0
23,15,Alexander Albon,Red Bull Racing Honda,63,+57.284s,0
63,NC,George Russell,Williams Mercedes,51,DNF,0
33,NC,Max Verstappen,Red Bull Racing Honda,50,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,47,DNF,0
31,NC,Esteban Ocon,Renault,27,DNF,0
10,NC,Pierre Gasly,AlphaTauri Honda,8,DNF,0
