,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:13.609
44,2,Lewis Hamilton,Mercedes,1:13.706
33,3,Max Verstappen,Red Bull Racing Honda,1:14.176
10,4,Pierre Gasly,AlphaTauri Honda,1:14.502
3,5,Daniel Ricciardo,Renault,1:14.520
23,6,Alexander Albon,Red Bull Racing Honda,1:14.572
16,7,Charles Leclerc,Ferrari,1:14.616
26,8,Daniil Kvyat,AlphaTauri Honda,1:14.696
4,9,Lando Norris,McLaren Renault,1:14.814
55,10,Carlos Sainz,McLaren Renault,1:14.911
11,11,Sergio Perez,Racing Point BWT Mercedes,1:15.061
31,12,Esteban Ocon,Renault,1:15.201
63,13,George Russell,Williams Mercedes,1:15.323
5,14,Sebastian Vettel,Ferrari,1:15.385
18,15,Lance Stroll,Racing Point BWT Mercedes,1:15.494
8,16,Romain Grosjean,Haas Ferrari,1:15.918
20,17,Kevin Magnussen,Haas Ferrari,1:15.939
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:15.953
6,19,Nicholas Latifi,Williams Mercedes,1:15.987
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:16.208
