,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,63,1:15.484,234.121,14:41:45
77,2,Valtteri Bottas,Mercedes,63,1:15.902,232.831,14:41:50
23,3,Alexander Albon,Red Bull Racing Honda,63,1:16.177,231.991,14:42:42
3,4,Daniel Ricciardo,Renault,62,1:17.552,227.878,14:40:41
33,5,Max Verstappen,Red Bull Racing Honda,44,1:17.637,227.628,14:11:48
26,6,Daniil Kvyat,AlphaTauri Honda,62,1:17.666,227.543,14:40:42
5,7,Sebastian Vettel,Ferrari,44,1:17.767,227.248,14:12:52
4,8,Lando Norris,McLaren Renault,63,1:18.069,226.368,14:42:06
11,9,Sergio Perez,Racing Point BWT Mercedes,49,1:18.084,226.325,14:18:58
7,10,Kimi Räikkönen,Alfa Romeo Racing Ferrari,63,1:18.088,226.313,14:42:07
55,11,Carlos Sainz,McLaren Renault,62,1:18.118,226.226,14:40:47
16,12,Charles Leclerc,Ferrari,62,1:18.173,226.067,14:40:45
18,13,Lance Stroll,Racing Point BWT Mercedes,46,1:18.360,225.528,14:15:50
6,14,Nicholas Latifi,Williams Mercedes,37,1:18.719,224.499,14:03:40
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,61,1:18.794,224.286,14:39:32
63,16,George Russell,Williams Mercedes,43,1:18.811,224.237,14:11:29
8,17,Romain Grosjean,Haas Ferrari,45,1:18.822,224.206,14:14:20
20,18,Kevin Magnussen,Haas Ferrari,45,1:19.273,222.930,14:14:42
31,19,Esteban Ocon,Renault,22,1:19.606,221.998,13:43:31
10,20,Pierre Gasly,AlphaTauri Honda,5,1:20.403,219.797,13:20:03
