,Position,Driver,Car,Time
26,1,Jacques Laffite,Ligier Ford,1:44.200
25,2,Patrick Depailler,Ligier Ford,1:45.240
2,3,Carlos Reutemann,Lotus Ford,1:45.340
4,4,Jean-Pierre Jarier,Tyrrell Ford,1:45.360
11,5,Jody Scheckter,Ferrari,1:45.580
7,6,John Watson,McLaren Ford,1:45.760
1,7,Mario Andretti,Lotus Ford,1:45.960
3,8,Didier Pironi,Tyrrell Ford,1:46.430
8,9,Patrick Tambay,McLaren Ford,1:46.560
12,10,Gilles Villeneuve,Ferrari,1:46.880
14,11,Emerson Fittipaldi,Fittipaldi Ford,1:47.150
15,12,Jean-Pierre Jabouille,Renault,1:47.460
30,14,Jochen Mass,Arrows Ford,1:48.340
27,15,Alan  Jones,Williams Ford,1:48.440
18,16,Elio de Angelis,Shadow Ford,1:48.510
28,17,Clay Regazzoni,Williams Ford,1:48.640
20,18,James Hunt,Wolf Ford,1:48.770
31,19,Hector Rebaque,Lotus Ford,1:49.360
6,20,Nelson Piquet,Brabham Ford,1:49.490
17,21,Jan Lammers,Shadow Ford,1:49.510
24,22,Arturo Merzario,Merzario Ford,1:50.260
5,23,Niki Lauda,Brabham Ford,1:50.290
22,24,Derek Daly,Ensign Ford,1:51.050
16,25,Rene Arnoux,Renault,1:51.520
