,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Lewis Hamilton,McLaren Mercedes,52,1:26.187,241.971
4,2,Jenson Button,McLaren Mercedes,52,1:26.207,241.915
1,3,Sebastian Vettel,Red Bull Racing Renault,49,1:26.557,240.937
9,4,Bruno Senna,Renault,51,1:26.895,240.000
6,5,Felipe Massa,Ferrari,53,1:26.924,239.919
5,6,Fernando Alonso,Ferrari,50,1:27.191,239.185
7,7,Michael Schumacher,Mercedes,46,1:27.402,238.607
15,8,Paul di Resta,Force India Mercedes,52,1:28.054,236.841
18,9,Sebastien Buemi,STR Ferrari,51,1:28.202,236.443
19,10,Jaime Alguersuari,STR Ferrari,49,1:28.357,236.028
11,11,Rubens Barrichello,Williams Cosworth,49,1:28.377,235.975
12,12,Pastor Maldonado,Williams Cosworth,51,1:28.934,234.497
17,13,Sergio Perez,Sauber Ferrari,29,1:29.403,233.267
20,14,Heikki Kovalainen,Lotus Renault,50,1:29.639,232.653
21,15,Jarno Trulli,Lotus Renault,50,1:29.825,232.171
16,16,Kamui Kobayashi,Sauber Ferrari,21,1:30.000,231.720
24,17,Timo Glock,Virgin Cosworth,51,1:30.783,229.721
2,18,Mark Webber,Red Bull Racing Renault,4,1:30.994,229.188
14,19,Adrian Sutil,Force India Mercedes,8,1:31.455,228.033
22,20,Daniel Ricciardo,HRT Cosworth,36,1:32.013,226.650
