,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:44.385,22
1,2,Michael Schumacher,Benetton Renault,1:44.465,23
6,3,David Coulthard,Williams Renault,1:44.540,23
28,4,Gerhard Berger,Ferrari,1:45.553,23
14,5,Rubens Barrichello,Jordan Peugeot,1:45.765,21
15,6,Eddie Irvine,Jordan Peugeot,1:45.846,23
8,7,Mika Hakkinen,McLaren Mercedes,1:45.849,19
7,8,Mark Blundell,McLaren Mercedes,1:46.221,19
2,9,Johnny Herbert,Benetton Renault,1:46.315,21
27,10,Jean Alesi,Ferrari,1:46.356,23
30,11,Heinz-Harald Frentzen,Sauber Ford,1:46.801,21
26,12,Olivier Panis,Ligier Mugen Honda,1:47.372,23
4,13,Mika Salo,Tyrrell Yamaha,1:47.507,24
29,14,Jean-Christophe Boullion,Sauber Ford,1:47.636,22
9,15,Massimiliano Papis,Footwork Hart,1:48.093,24
24,16,Luca Badoer,Minardi Ford,1:49.302,23
3,17,Ukyo Katayama,Tyrrell Yamaha,1:49.402,17
25,18,Aguri Suzuki,Ligier Mugen Honda,1:49.716,15
10,19,Taki Inoue,Footwork Hart,1:49.892,24
23,20,Pierluigi Martini,Minardi Ford,1:49.990,24
21,21,Pedro Diniz,Forti Ford,1:52.961,24
22,22,Roberto Moreno,Forti Ford,1:53.405,24
17,23,Andrea Montermini,Pacific Ilmor,1:53.492,5
16,24,Giovanni Lavaggi,Pacific Ilmor,1:54.625,18
