,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,22,1:48.824
6,2,David Coulthard,Williams Renault,5,1:49.714
8,3,Mika Hakkinen,McLaren Mercedes,14,1:49.900
28,4,Gerhard Berger,Ferrari,20,1:49.926
14,5,Rubens Barrichello,Jordan Peugeot,6,1:49.927
15,6,Eddie Irvine,Jordan Peugeot,30,1:50.646
27,7,Jean Alesi,Ferrari,10,1:50.672
26,8,Olivier Panis,Ligier Mugen Honda,7,1:50.690
7,9,Mark Blundell,McLaren Mercedes,6,1:50.781
2,10,Johnny Herbert,Benetton Renault,25,1:50.929
30,11,Heinz-Harald Frentzen,Sauber Ford,14,1:51.426
25,12,Aguri Suzuki,Ligier Mugen Honda,25,1:51.760
29,13,Jean-Christophe Boullion,Sauber Ford,20,1:52.033
3,14,Ukyo Katayama,Tyrrell Yamaha,25,1:52.791
24,15,Luca Badoer,Minardi Ford,4,1:52.859
10,16,Taki Inoue,Footwork Hart,5,1:53.541
5,17,Damon Hill,Williams Renault,1,1:53.989
23,18,Pierluigi Martini,Minardi Ford,5,1:54.210
17,19,Andrea Montermini,Pacific Ilmor,23,1:54.341
22,20,Roberto Moreno,Forti Ford,4,1:56.038
16,21,Giovanni Lavaggi,Pacific Ilmor,3,1:58.836
21,22,Pedro Diniz,Forti Ford,2,2:02.176
