,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Juan Pablo Montoya,Williams BMW,35,1:14.448,202.707
3,2,Mika Hakkinen,McLaren Mercedes,45,1:14.481,202.618
2,3,Rubens Barrichello,Ferrari,47,1:14.629,202.216
4,4,David Coulthard,McLaren Mercedes,39,1:14.641,202.183
5,5,Ralf Schumacher,Williams BMW,22,1:14.706,202.007
1,6,Michael Schumacher,Ferrari,32,1:14.841,201.643
18,7,Eddie Irvine,Jaguar Cosworth,58,1:15.139,200.843
16,8,Nick Heidfeld,Sauber Petronas,29,1:15.169,200.763
11,9,Jarno Trulli,Jordan Honda,63,1:15.199,200.683
8,10,Jenson Button,Benetton Renault,71,1:15.252,200.542
22,11,Heinz-Harald Frentzen,Prost Acer,38,1:15.296,200.424
7,12,Giancarlo Fisichella,Benetton Renault,40,1:15.457,199.997
12,13,Jean Alesi,Jordan Honda,67,1:15.659,199.463
19,14,Pedro de la Rosa,Jaguar Cosworth,68,1:15.758,199.202
9,15,Olivier Panis,BAR Honda,67,1:15.919,198.780
15,16,Enrique Bernoldi,Arrows Asiatech,68,1:16.068,198.390
23,17,Tomas Enge,Prost Acer,71,1:16.155,198.164
14,18,Jos Verstappen,Arrows Asiatech,35,1:16.342,197.678
10,19,Jacques Villeneuve,BAR Honda,40,1:16.680,196.807
21,20,Fernando Alonso,Minardi European,30,1:16.694,196.771
20,21,Alex Yoong,Minardi European,25,1:17.079,195.788
17,22,Kimi Räikkönen,Sauber Petronas,2,1:51.518,135.325
