,Position,Driver,Car,Time
15,1,Jean-Pierre Jabouille,Renault,1:07.190
16,2,Rene Arnoux,Renault,1:07.450
12,3,Gilles Villeneuve,Ferrari,1:07.650
6,4,Nelson Piquet,Brabham Ford,1:08.130
11,5,Jody Scheckter,Ferrari,1:08.150
5,6,Niki Lauda,Brabham Ford,1:08.200
27,7,Alan  Jones,Williams Ford,1:08.230
26,8,Jacques Laffite,Ligier Ford,1:08.550
28,9,Clay Regazzoni,Williams Ford,1:08.650
4,10,Jean-Pierre Jarier,Tyrrell Ford,1:08.800
3,11,Didier Pironi,Tyrrell Ford,1:08.950
1,12,Mario Andretti,Lotus Ford,1:09.350
2,13,Carlos Reutemann,Lotus Ford,1:09.360
25,14,Jacky Ickx,Ligier Ford,1:09.680
7,15,John Watson,McLaren Ford,1:09.970
20,16,Keke Rosberg,Wolf Ford,1:10.150
35,17,Bruno Giacomelli,Alfa Romeo,1:10.590
14,18,Emerson Fittipaldi,Fittipaldi Ford,1:10.610
29,19,Riccardo Patrese,Arrows Ford,1:10.700
8,20,Patrick Tambay,McLaren Ford,1:10.920
17,21,Jan Lammers,Shadow Ford,1:11.140
30,22,Jochen Mass,Arrows Ford,1:11.140
31,23,Hector Rebaque,Lotus Ford,1:11.970
18,24,Elio de Angelis,Shadow Ford,1:12.230
