,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:24.204,12
6,2,Jacques Villeneuve,Williams Renault,1:24.521,11
1,3,Michael Schumacher,Ferrari,1:24.781,9
7,4,Mika Hakkinen,McLaren Mercedes,1:24.939,11
8,5,David Coulthard,McLaren Mercedes,1:24.976,11
3,6,Jean Alesi,Benetton Renault,1:25.201,11
2,7,Eddie Irvine,Ferrari,1:25.226,12
4,8,Gerhard Berger,Benetton Renault,1:25.470,12
12,9,Martin Brundle,Jordan Peugeot,1:26.037,12
11,10,Rubens Barrichello,Jordan Peugeot,1:26.194,12
9,11,Olivier Panis,Ligier Mugen Honda,1:26.206,9
14,12,Johnny Herbert,Sauber Ford,1:26.345,12
15,13,Heinz-Harald Frentzen,Sauber Ford,1:26.505,9
10,14,Pedro Diniz,Ligier Mugen Honda,1:26.726,11
17,15,Jos Verstappen,Footwork Hart,1:27.270,9
18,16,Ukyo Katayama,Tyrrell Yamaha,1:28.234,12
19,17,Mika Salo,Tyrrell Yamaha,1:28.472,7
20,18,Pedro Lamy,Minardi Ford,1:28.933,12
16,19,Ricardo Rosset,Footwork Hart,1:29.181,7
21,20,Giovanni Lavaggi,Minardi Ford,1:29.833,12
