,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:14.758
0,2,Damon Hill,Williams Renault,+0.221s
26,3,Mark Blundell,Ligier Renault,+1.344s
5,4,Michael Schumacher,Benetton Ford,+1.809s
25,5,Martin Brundle,Ligier Renault,+1.876s
14,6,Rubens Barrichello,Jordan Hart,+2.190s
8,7,Ayrton Senna,McLaren Ford,+2.355s
27,8,Jean Alesi,Ferrari,+2.824s
19,9,Philippe Alliot,Larrousse Lamborghini,+2.959s
7,10,Michael Andretti,McLaren Ford,+3.176s
20,11,Erik Comas,Larrousse Lamborghini,+3.188s
29,12,Karl Wendlinger,Sauber,+3.345s
9,13,Derek Warwick,Footwork Mugen Honda,+3.429s
6,14,Riccardo Patrese,Benetton Ford,+3.634s
28,15,Gerhard Berger,Ferrari,+3.650s
11,16,Alessandro Zanardi,Lotus Ford,+3.701s
24,17,Fabrizio Barbazza,Minardi Ford,+3.767s
23,18,Christian Fittipaldi,Minardi Ford,+3.874s
3,19,Ukyo Katayama,Tyrrell Yamaha,+3.888s
15,20,Thierry Boutsen,Jordan Hart,+4.035s
30,21,Jyrki Jarvilehto,Sauber,+4.062s
22,22,Luca Badoer,Lola Ferrari,+4.526s
21,23,Michele Alboreto,Lola Ferrari,+5.378s
10,24,Aguri Suzuki,Footwork Mugen Honda,+5.935s
12,25,Johnny Herbert,Lotus Ford,+6.073s
4,26,Andrea de Cesaris,Tyrrell Yamaha,+13.218s
