,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:16.266
8,2,Ayrton Senna,McLaren Ford,+0.085s
26,3,Mark Blundell,Ligier Renault,+0.637s
25,4,Martin Brundle,Ligier Renault,+1.342s
5,5,Michael Schumacher,Benetton Ford,+1.557s
29,6,Karl Wendlinger,Sauber,+1.573s
20,7,Erik Comas,Larrousse Lamborghini,+1.649s
15,8,Thierry Boutsen,Jordan Hart,+1.747s
27,9,Jean Alesi,Ferrari,+1.753s
6,10,Riccardo Patrese,Benetton Ford,+1.780s
19,11,Philippe Alliot,Larrousse Lamborghini,+1.877s
14,12,Rubens Barrichello,Jordan Hart,+1.959s
10,13,Aguri Suzuki,Footwork Mugen Honda,+2.099s
30,14,Jyrki Jarvilehto,Sauber,+2.542s
12,15,Johnny Herbert,Lotus Ford,+2.627s
28,16,Gerhard Berger,Ferrari,+3.052s
24,17,Fabrizio Barbazza,Minardi Ford,+3.221s
7,18,Michael Andretti,McLaren Ford,+3.248s
23,19,Christian Fittipaldi,Minardi Ford,+3.303s
11,20,Alessandro Zanardi,Lotus Ford,+3.679s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+3.957s
21,22,Michele Alboreto,Lola Ferrari,+4.832s
22,23,Luca Badoer,Lola Ferrari,+5.138s
3,24,Ukyo Katayama,Tyrrell Yamaha,+5.242s
2,25,Alain Prost,Williams Renault,+12.406s
9,26,Derek Warwick,Footwork Mugen Honda,+227.128s
