,Position,Driver,Car,Time
0,1,Damon Hill,Williams Renault,1:14.382
2,2,Alain Prost,Williams Renault,1:14.524
25,3,Martin Brundle,Ligier Renault,1:16.169
26,4,Mark Blundell,Ligier Renault,1:16.203
8,5,Ayrton Senna,McLaren Ford,1:16.264
27,6,Jean Alesi,Ferrari,1:16.662
5,7,Michael Schumacher,Benetton Ford,1:16.720
14,8,Rubens Barrichello,Jordan Hart,1:17.168
20,9,Erik Comas,Larrousse Lamborghini,1:17.170
19,10,Philippe Alliot,Larrousse Lamborghini,1:17.190
29,11,Karl Wendlinger,Sauber,1:17.315
6,12,Riccardo Patrese,Benetton Ford,1:17.362
10,13,Aguri Suzuki,Footwork Mugen Honda,1:17.441
28,14,Gerhard Berger,Ferrari,1:17.456
9,15,Derek Warwick,Footwork Mugen Honda,1:17.598
7,16,Michael Andretti,McLaren Ford,1:17.659
11,17,Alessandro Zanardi,Lotus Ford,1:17.706
30,18,Jyrki Jarvilehto,Sauber,1:17.812
12,19,Johnny Herbert,Lotus Ford,1:17.862
15,20,Thierry Boutsen,Jordan Hart,1:17.997
3,21,Ukyo Katayama,Tyrrell Yamaha,1:19.143
22,22,Luca Badoer,Lola Ferrari,1:19.493
23,23,Christian Fittipaldi,Minardi Ford,1:19.519
24,24,Fabrizio Barbazza,Minardi Ford,1:19.691
4,25,Andrea de Cesaris,Tyrrell Yamaha,1:19.856
21,26,Michele Alboreto,Lola Ferrari,1:20.130
