,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,47,1:19.256
25,2,Martin Brundle,Ligier Renault,49,1:19.919
8,3,Ayrton Senna,McLaren Ford,58,1:20.521
2,4,Alain Prost,Williams Renault,41,1:20.530
0,5,Damon Hill,Williams Renault,35,1:20.542
6,6,Riccardo Patrese,Benetton Ford,52,1:20.626
7,7,Michael Andretti,McLaren Ford,61,1:20.631
19,8,Philippe Alliot,Larrousse Lamborghini,64,1:21.737
28,9,Gerhard Berger,Ferrari,69,1:21.898
20,10,Erik Comas,Larrousse Lamborghini,61,1:22.024
14,11,Rubens Barrichello,Jordan Hart,52,1:22.105
10,12,Aguri Suzuki,Footwork Mugen Honda,67,1:22.420
23,13,Christian Fittipaldi,Minardi Ford,44,1:22.446
15,14,Thierry Boutsen,Jordan Hart,59,1:22.738
9,15,Derek Warwick,Footwork Mugen Honda,58,1:22.867
27,16,Jean Alesi,Ferrari,35,1:22.917
26,17,Mark Blundell,Ligier Renault,6,1:22.939
4,18,Andrea de Cesaris,Tyrrell Yamaha,59,1:24.065
29,19,Karl Wendlinger,Sauber,3,1:24.376
30,20,Jyrki Jarvilehto,Sauber,7,1:24.735
12,21,Johnny Herbert,Lotus Ford,4,1:25.136
22,22,Luca Badoer,Lola Ferrari,4,1:25.196
24,23,Fabrizio Barbazza,Minardi Ford,9,1:25.286
3,24,Ukyo Katayama,Tyrrell Yamaha,4,1:25.933
11,25,Alessandro Zanardi,Lotus Ford,2,1:26.538
