,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Fernando Alonso,McLaren Mercedes,46,1:16.367,205.580
2,2,Lewis Hamilton,McLaren Mercedes,37,1:16.494,205.239
9,3,Nick Heidfeld,Sauber BMW,19,1:16.696,204.699
5,4,Felipe Massa,Ferrari,22,1:16.849,204.291
6,5,Kimi Räikkönen,Ferrari,21,1:16.861,204.259
16,6,Nico Rosberg,Williams Toyota,42,1:17.156,203.478
3,7,Giancarlo Fisichella,Renault,22,1:17.411,202.808
10,8,Robert Kubica,Sauber BMW,19,1:17.529,202.499
15,9,Mark Webber,Red Bull Renault,47,1:17.618,202.267
11,10,Ralf Schumacher,Toyota,38,1:17.910,201.509
17,11,Alexander Wurz,Williams Toyota,67,1:17.947,201.413
22,12,Takuma Sato,Super Aguri Honda,47,1:18.035,201.186
4,13,Heikki Kovalainen,Renault,67,1:18.368,200.331
8,14,Rubens Barrichello,Honda,62,1:18.543,199.885
23,15,Anthony Davidson,Super Aguri Honda,36,1:18.780,199.284
14,16,David Coulthard,Red Bull Renault,19,1:18.981,198.776
12,17,Jarno Trulli,Toyota,12,1:19.092,198.497
21,18,Christijan Albers,Spyker Ferrari,21,1:19.254,198.092
18,19,Vitantonio Liuzzi,STR Ferrari,9,1:19.375,197.790
20,20,Adrian Sutil,Spyker Ferrari,20,1:19.452,197.598
19,21,Scott Speed,STR Ferrari,6,1:20.092,196.019
