,Max Verstappen
Season Position,2nd
Season Points,396
Grand Prix Races,23
Grand Prix Points,364
Grand Prix Wins,7
Grand Prix Podiums,14
Grand Prix Poles,7
Grand Prix Top 10s,22
DHL Fastest Laps,3
DNFs,1
Sprint Races,6
Sprint Points,32
Sprint Wins,2
Sprint Podiums,3
Sprint Poles,1
Sprint Top 10s,5
