,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:39.581
0,2,Damon Hill,Williams Renault,+0.590s
26,3,Mark Blundell,Ligier Renault,+0.645s
5,4,Michael Schumacher,Benetton Ford,+1.175s
25,5,Martin Brundle,Ligier Renault,+1.528s
6,6,Riccardo Patrese,Benetton Ford,+1.734s
28,7,Gerhard Berger,Ferrari,+1.920s
20,8,Erik Comas,Larrousse Lamborghini,+1.973s
27,9,Jean Alesi,Ferrari,+2.060s
24,10,Pierluigi Martini,Minardi Ford,+2.096s
12,11,Johnny Herbert,Lotus Ford,+2.393s
29,12,Karl Wendlinger,Sauber,+2.494s
14,13,Rubens Barrichello,Jordan Hart,+2.623s
7,14,Michael Andretti,McLaren Ford,+2.859s
10,15,Aguri Suzuki,Footwork Mugen Honda,+2.939s
8,16,Ayrton Senna,McLaren Ford,+3.196s
3,17,Ukyo Katayama,Tyrrell Yamaha,+3.442s
23,18,Christian Fittipaldi,Minardi Ford,+3.501s
11,19,Alessandro Zanardi,Lotus Ford,+3.589s
19,20,Philippe Alliot,Larrousse Lamborghini,+3.674s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+4.166s
9,22,Derek Warwick,Footwork Mugen Honda,+4.262s
15,23,Thierry Boutsen,Jordan Hart,+4.853s
22,24,Luca Badoer,Lola Ferrari,+4.875s
21,25,Michele Alboreto,Lola Ferrari,+6.589s
30,26,Jyrki Jarvilehto,Sauber,+9.256s
