,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:38.817
0,2,Damon Hill,Williams Renault,+0.430s
5,3,Michael Schumacher,Benetton Ford,+0.750s
8,4,Ayrton Senna,McLaren Ford,+0.897s
10,5,Aguri Suzuki,Footwork Mugen Honda,+2.241s
26,6,Mark Blundell,Ligier Renault,+2.293s
25,7,Martin Brundle,Ligier Renault,+2.348s
28,8,Gerhard Berger,Ferrari,+2.547s
6,9,Riccardo Patrese,Benetton Ford,+2.618s
9,10,Derek Warwick,Footwork Mugen Honda,+3.341s
14,11,Rubens Barrichello,Jordan Hart,+3.354s
19,12,Philippe Alliot,Larrousse Lamborghini,+3.453s
27,13,Jean Alesi,Ferrari,+3.471s
20,14,Erik Comas,Larrousse Lamborghini,+3.775s
30,15,Jyrki Jarvilehto,Sauber,+3.781s
15,16,Thierry Boutsen,Jordan Hart,+3.847s
29,17,Karl Wendlinger,Sauber,+4.025s
24,18,Pierluigi Martini,Minardi Ford,+4.256s
4,19,Andrea de Cesaris,Tyrrell Yamaha,+4.272s
23,20,Christian Fittipaldi,Minardi Ford,+4.339s
12,21,Johnny Herbert,Lotus Ford,+4.792s
7,22,Michael Andretti,McLaren Ford,+4.802s
11,23,Alessandro Zanardi,Lotus Ford,+4.823s
22,24,Luca Badoer,Lola Ferrari,+5.384s
21,25,Michele Alboreto,Lola Ferrari,+5.521s
3,26,Ukyo Katayama,Tyrrell Yamaha,+5.571s
