,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,40,1:41.859
8,2,Ayrton Senna,McLaren Ford,45,1:42.162
2,3,Alain Prost,Williams Renault,33,1:42.213
25,4,Martin Brundle,Ligier Renault,36,1:42.331
0,5,Damon Hill,Williams Renault,39,1:42.574
26,6,Mark Blundell,Ligier Renault,36,1:43.319
27,7,Jean Alesi,Ferrari,40,1:44.222
6,8,Riccardo Patrese,Benetton Ford,32,1:44.575
14,9,Rubens Barrichello,Jordan Hart,32,1:45.009
29,10,Karl Wendlinger,Sauber,38,1:45.128
28,11,Gerhard Berger,Ferrari,33,1:45.489
19,12,Philippe Alliot,Larrousse Lamborghini,42,1:45.638
12,13,Johnny Herbert,Lotus Ford,41,1:45.767
30,14,Jyrki Jarvilehto,Sauber,22,1:46.085
11,15,Alessandro Zanardi,Lotus Ford,19,1:46.100
3,16,Ukyo Katayama,Tyrrell Yamaha,26,1:46.186
23,17,Christian Fittipaldi,Minardi Ford,29,1:46.323
10,18,Aguri Suzuki,Footwork Mugen Honda,8,1:47.183
9,19,Derek Warwick,Footwork Mugen Honda,33,1:47.284
24,20,Pierluigi Martini,Minardi Ford,35,1:47.341
15,21,Thierry Boutsen,Jordan Hart,19,1:47.469
7,22,Michael Andretti,McLaren Ford,3,1:47.505
21,23,Michele Alboreto,Lola Ferrari,40,1:48.875
22,24,Luca Badoer,Lola Ferrari,3,1:51.879
4,25,Andrea de Cesaris,Tyrrell Yamaha,1,2:38.437
