,Position,Driver,Car,Laps,Time,Points
2,1,Alain Prost,Williams Renault,45,1:18:40.885,10
5,2,Michael Schumacher,Benetton Ford,45,+16.664s,6
26,3,Mark Blundell,Ligier Renault,45,+59.349s,4
8,4,Ayrton Senna,McLaren Ford,45,+68.229s,3
6,5,Riccardo Patrese,Benetton Ford,45,+91.516s,2
28,6,Gerhard Berger,Ferrari,45,+94.754s,1
27,7,Jean Alesi,Ferrari,45,+95.841s,0
25,8,Martin Brundle,Ligier Renault,44,+1 lap,0
29,9,Karl Wendlinger,Sauber,44,+1 lap,0
12,10,Johnny Herbert,Lotus Ford,44,+1 lap,0
23,11,Christian Fittipaldi,Minardi Ford,44,+1 lap,0
19,12,Philippe Alliot,Larrousse Lamborghini,44,+1 lap,0
15,13,Thierry Boutsen,Jordan Hart,44,+1 lap,0
24,14,Pierluigi Martini,Minardi Ford,44,+1 lap,0
0,15,Damon Hill,Williams Renault,43,DNF,0
21,16,Michele Alboreto,Lola Ferrari,43,+2 laps,0
9,17,Derek Warwick,Footwork Mugen Honda,42,+3 laps,0
14,NC,Rubens Barrichello,Jordan Hart,34,DNF,0
3,NC,Ukyo Katayama,Tyrrell Yamaha,28,DNF,0
30,NC,Jyrki Jarvilehto,Sauber,22,DNF,0
11,NC,Alessandro Zanardi,Lotus Ford,19,DNF,0
10,NC,Aguri Suzuki,Footwork Mugen Honda,9,DNF,0
7,NC,Michael Andretti,McLaren Ford,4,DNF,0
22,NC,Luca Badoer,Lola Ferrari,4,DNF,0
4,NC,Andrea de Cesaris,Tyrrell Yamaha,1,DNF,0
