,Position,Driver,Car,Time
5,1,Michael Schumacher,Ferrari,1:22.795
12,2,Jenson Button,Honda,1:22.988
11,3,Rubens Barrichello,Honda,1:23.242
6,4,Felipe Massa,Ferrari,1:23.702
1,5,Fernando Alonso,Renault,1:23.709
7,6,Ralf Schumacher,Toyota,1:23.772
4,7,Juan Pablo Montoya,McLaren Mercedes,1:24.021
3,8,Kimi Räikkönen,McLaren Mercedes,1:24.158
8,9,Jarno Trulli,Toyota,1:24.172
9,10,Mark Webber,Williams Cosworth,1:24.795
2,11,Giancarlo Fisichella,Renault,1:23.771
17,12,Jacques Villeneuve,Sauber BMW,1:23.887
10,13,Nico Rosberg,Williams Cosworth,1:23.966
14,14,David Coulthard,RBR Ferrari,1:24.101
16,15,Nick Heidfeld,Sauber BMW,1:24.129
20,16,Vitantonio Liuzzi,STR Cosworth,1:24.520
15,17,Christian Klien,RBR Ferrari,1:25.410
21,18,Scott Speed,STR Cosworth,1:25.437
18,19,Tiago Monteiro,MF1 Toyota,1:26.820
19,20,Christijan Albers,MF1 Toyota,1:27.088
22,21,Takuma Sato,Super Aguri Honda,1:27.609
23,22,Yuji Ide,Super Aguri Honda,1:29.282
