,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Michael Schumacher,Ferrari,1:24.598,1:22.579,1:22.795,22
12,2,Jenson Button,Honda,1:24.480,1:23.749,1:22.988,20
11,3,Rubens Barrichello,Honda,1:24.727,1:23.760,1:23.242,20
6,4,Felipe Massa,Ferrari,1:24.884,1:23.595,1:23.702,22
1,5,Fernando Alonso,Renault,1:23.536,1:23.743,1:23.709,21
7,6,Ralf Schumacher,Toyota,1:24.370,1:23.565,1:23.772,26
4,7,Juan Pablo Montoya,McLaren Mercedes,1:24.960,1:23.760,1:24.021,24
3,8,Kimi Räikkönen,McLaren Mercedes,1:24.259,1:23.190,1:24.158,21
8,9,Jarno Trulli,Toyota,1:24.446,1:23.727,1:24.172,27
9,10,Mark Webber,Williams Cosworth,1:24.992,1:23.718,1:24.795,21
2,11,Giancarlo Fisichella,Renault,1:24.434,1:23.771,,6
17,12,Jacques Villeneuve,Sauber BMW,1:25.081,1:23.887,,9
10,13,Nico Rosberg,Williams Cosworth,1:24.495,1:23.966,,9
14,14,David Coulthard,RBR Ferrari,1:24.849,1:24.101,,12
16,15,Nick Heidfeld,Sauber BMW,1:25.410,1:24.129,,10
20,16,Vitantonio Liuzzi,STR Cosworth,1:24.879,1:24.520,,16
15,17,Christian Klien,RBR Ferrari,1:25.410,,,6
21,18,Scott Speed,STR Cosworth,1:25.437,,,8
18,19,Tiago Monteiro,MF1 Toyota,1:26.820,,,6
19,20,Christijan Albers,MF1 Toyota,1:27.088,,,6
22,21,Takuma Sato,Super Aguri Honda,1:27.609,,,6
23,22,Yuji Ide,Super Aguri Honda,1:29.282,,,8
