,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:19.705
5,2,Nigel Mansell,Williams Renault,+0.130s
1,3,Ayrton Senna,McLaren Honda,+0.257s
28,4,Jean Alesi,Ferrari,+0.925s
2,5,Gerhard Berger,McLaren Honda,+1.078s
20,6,Nelson Piquet,Benetton Ford,+1.186s
27,7,Alain Prost,Ferrari,+1.437s
19,8,Roberto Moreno,Benetton Ford,+1.729s
32,9,Bertrand Gachot,Jordan Ford,+1.908s
4,10,Stefano Modena,Tyrrell Honda,+1.983s
33,11,Andrea de Cesaris,Jordan Ford,+2.579s
29,12,Eric Bernard,Lola Ford,+2.627s
16,13,Ivan Capelli,Leyton House Ilmor,+2.713s
21,14,Emanuele Pirro,Dallara Judd,+2.767s
23,15,Pierluigi Martini,Minardi Ferrari,+2.837s
30,16,Aguri Suzuki,Lola Ford,+3.138s
12,17,Johnny Herbert,Lotus Judd,+3.244s
25,18,Thierry Boutsen,Ligier Lamborghini,+3.381s
15,19,Mauricio Gugelmin,Leyton House Ilmor,+3.394s
3,20,Satoru Nakajima,Tyrrell Honda,+3.654s
7,21,Martin Brundle,Brabham Yamaha,+3.795s
17,22,Gabriele Tarquini,AGS Ford,+3.815s
22,23,Jyrki Jarvilehto,Dallara Judd,+4.006s
18,24,Fabrizio Barbazza,AGS Ford,+4.190s
11,25,Mika Hakkinen,Lotus Judd,+4.375s
10,26,Stefan Johansson,Footwork Porsche,+4.428s
24,27,Gianni Morbidelli,Minardi Ferrari,+4.561s
9,28,Michele Alboreto,Footwork Porsche,+4.610s
26,29,Erik Comas,Ligier Lamborghini,+4.621s
8,30,Mark Blundell,Brabham Yamaha,+6.108s
