,Position,Driver,Car,Time / Gap
19,1,Roberto Moreno,Benetton Ford,1:21.793
5,2,Nigel Mansell,Williams Renault,+0.468s
27,3,Alain Prost,Ferrari,+0.625s
2,4,Gerhard Berger,McLaren Honda,+1.000s
1,5,Ayrton Senna,McLaren Honda,+1.098s
4,6,Stefano Modena,Tyrrell Honda,+1.721s
23,7,Pierluigi Martini,Minardi Ferrari,+2.146s
32,8,Bertrand Gachot,Jordan Ford,+2.211s
6,9,Riccardo Patrese,Williams Renault,+2.243s
33,10,Andrea de Cesaris,Jordan Ford,+2.297s
20,11,Nelson Piquet,Benetton Ford,+2.467s
29,12,Eric Bernard,Lola Ford,+2.555s
3,13,Satoru Nakajima,Tyrrell Honda,+2.736s
22,14,Jyrki Jarvilehto,Dallara Judd,+2.789s
21,15,Emanuele Pirro,Dallara Judd,+2.878s
24,16,Gianni Morbidelli,Minardi Ferrari,+3.242s
28,17,Jean Alesi,Ferrari,+3.570s
15,18,Mauricio Gugelmin,Leyton House Ilmor,+3.574s
25,19,Thierry Boutsen,Ligier Lamborghini,+3.799s
26,20,Erik Comas,Ligier Lamborghini,+4.008s
18,21,Fabrizio Barbazza,AGS Ford,+4.039s
30,22,Aguri Suzuki,Lola Ford,+4.060s
16,23,Ivan Capelli,Leyton House Ilmor,+4.450s
12,24,Johnny Herbert,Lotus Judd,+4.704s
17,25,Gabriele Tarquini,AGS Ford,+4.788s
7,26,Martin Brundle,Brabham Yamaha,+4.914s
10,27,Stefan Johansson,Footwork Porsche,+5.480s
9,28,Michele Alboreto,Footwork Porsche,+5.799s
11,29,Mika Hakkinen,Lotus Judd,+5.895s
8,30,Mark Blundell,Brabham Yamaha,+9.088s
