,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,65,1:22.385
6,2,Riccardo Patrese,Williams Renault,48,1:22.672
4,3,Stefano Modena,Tyrrell Honda,52,1:23.528
20,4,Nelson Piquet,Benetton Ford,34,1:23.758
33,5,Andrea de Cesaris,Jordan Ford,54,1:24.105
28,6,Jean Alesi,Ferrari,32,1:24.125
27,7,Alain Prost,Ferrari,25,1:24.186
32,8,Bertrand Gachot,Jordan Ford,50,1:24.479
16,9,Ivan Capelli,Leyton House Ilmor,40,1:24.547
1,10,Ayrton Senna,McLaren Honda,19,1:24.647
22,11,Jyrki Jarvilehto,Dallara Judd,48,1:24.680
21,12,Emanuele Pirro,Dallara Judd,45,1:25.183
23,13,Pierluigi Martini,Minardi Ferrari,46,1:25.237
3,14,Satoru Nakajima,Tyrrell Honda,65,1:25.620
19,15,Roberto Moreno,Benetton Ford,9,1:25.690
26,16,Erik Comas,Ligier Lamborghini,36,1:25.877
25,17,Thierry Boutsen,Ligier Lamborghini,27,1:26.469
29,18,Eric Bernard,Lola Ford,28,1:26.510
24,19,Gianni Morbidelli,Minardi Ferrari,16,1:26.576
11,20,Mika Hakkinen,Lotus Judd,18,1:26.626
7,21,Martin Brundle,Brabham Yamaha,13,1:27.549
15,22,Mauricio Gugelmin,Leyton House Ilmor,48,1:28.212
10,23,Stefan Johansson,Footwork Porsche,38,1:28.420
30,24,Aguri Suzuki,Lola Ford,3,1:29.644
2,25,Gerhard Berger,McLaren Honda,3,1:29.815
9,26,Michele Alboreto,Footwork Porsche,2,1:36.279
