,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:13.780,11
5,2,Ralf Schumacher,Williams BMW,1:14.090,12
3,3,Mika Hakkinen,McLaren Mercedes,1:14.122,10
6,4,Juan Pablo Montoya,Williams BMW,1:14.165,11
4,5,David Coulthard,McLaren Mercedes,1:14.178,11
2,6,Rubens Barrichello,Ferrari,1:14.191,11
12,7,Jarno Trulli,Jordan Honda,1:14.630,11
11,8,Heinz-Harald Frentzen,Jordan Honda,1:14.633,11
16,9,Nick Heidfeld,Sauber Petronas,1:14.810,12
17,10,Kimi Räikkönen,Sauber Petronas,1:14.924,11
9,11,Olivier Panis,BAR Honda,1:15.046,11
10,12,Jacques Villeneuve,BAR Honda,1:15.182,12
18,13,Eddie Irvine,Jaguar Cosworth,1:15.192,12
19,14,Luciano Burti,Jaguar Cosworth,1:15.371,12
22,15,Jean Alesi,Prost Acer,1:15.437,12
15,16,Enrique Bernoldi,Arrows Asiatech,1:15.657,12
14,17,Jos Verstappen,Arrows Asiatech,1:15.704,12
7,18,Giancarlo Fisichella,Benetton Renault,1:16.175,12
21,19,Fernando Alonso,Minardi European,1:16.184,12
8,20,Jenson Button,Benetton Renault,1:16.229,12
23,21,Gaston Mazzacane,Prost Acer,1:16.520,12
20,22,Tarso Marques,Minardi European,1:16.784,12
