,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Ralf Schumacher,Williams BMW,38,1:15.693,204.938
4,2,David Coulthard,McLaren Mercedes,44,1:16.498,202.781
1,3,Michael Schumacher,Ferrari,44,1:16.545,202.657
6,4,Juan Pablo Montoya,Williams BMW,31,1:16.593,202.530
9,5,Olivier Panis,BAR Honda,44,1:16.732,202.163
10,6,Jacques Villeneuve,BAR Honda,41,1:17.106,201.182
18,7,Eddie Irvine,Jaguar Cosworth,43,1:17.132,201.114
11,8,Heinz-Harald Frentzen,Jordan Honda,41,1:17.522,200.103
22,9,Jean Alesi,Prost Acer,43,1:17.609,199.878
12,10,Jarno Trulli,Jordan Honda,41,1:17.632,199.819
17,11,Kimi Räikkönen,Sauber Petronas,33,1:17.816,199.347
7,12,Giancarlo Fisichella,Benetton Renault,41,1:17.830,199.311
16,13,Nick Heidfeld,Sauber Petronas,42,1:18.064,198.713
23,14,Gaston Mazzacane,Prost Acer,23,1:18.176,198.429
19,15,Luciano Burti,Jaguar Cosworth,29,1:18.759,196.960
14,16,Jos Verstappen,Arrows Asiatech,26,1:18.875,196.670
15,17,Enrique Bernoldi,Arrows Asiatech,12,1:19.449,195.249
20,18,Tarso Marques,Minardi European,34,1:19.734,194.551
21,19,Fernando Alonso,Minardi European,16,1:19.765,194.476
8,20,Jenson Button,Benetton Renault,38,1:19.846,194.278
2,21,Rubens Barrichello,Ferrari,2,1:58.705,130.680
