,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,67,1:21.916
5,2,Damon Hill,Williams Renault,36,1:21.957
3,3,Jean Alesi,Benetton Renault,36,1:22.824
8,4,David Coulthard,McLaren Mercedes,69,1:22.941
12,5,Martin Brundle,Jordan Peugeot,68,1:22.958
11,6,Rubens Barrichello,Jordan Peugeot,18,1:23.028
7,7,Mika Hakkinen,McLaren Mercedes,64,1:23.070
4,8,Gerhard Berger,Benetton Renault,27,1:23.102
9,9,Olivier Panis,Ligier Mugen Honda,28,1:23.399
19,10,Mika Salo,Tyrrell Yamaha,28,1:23.648
14,11,Johnny Herbert,Sauber Ford,35,1:23.907
15,12,Heinz-Harald Frentzen,Sauber Ford,18,1:24.082
1,13,Michael Schumacher,Ferrari,36,1:24.163
10,14,Pedro Diniz,Ligier Mugen Honda,27,1:24.332
21,15,Giancarlo Fisichella,Minardi Ford,60,1:24.349
23,16,Andrea Montermini,Forti Ford,18,1:24.621
17,17,Jos Verstappen,Footwork Hart,7,1:24.844
20,18,Pedro Lamy,Minardi Ford,35,1:24.855
18,19,Ukyo Katayama,Tyrrell Yamaha,6,1:25.769
22,20,Luca Badoer,Forti Ford,18,1:26.007
16,21,Ricardo Rosset,Footwork Hart,5,1:26.347
2,22,Eddie Irvine,Ferrari,1,1:33.016
