,Position,Driver,Car,Time / Gap,Laps
3,1,Jean Alesi,Benetton Renault,1:22.498,25
4,2,Gerhard Berger,Benetton Renault,+0.072s,28
1,3,Michael Schumacher,Ferrari,+0.408s,27
5,4,Damon Hill,Williams Renault,+0.460s,30
11,5,Rubens Barrichello,Jordan Peugeot,+0.528s,30
2,6,Eddie Irvine,Ferrari,+0.650s,18
12,7,Martin Brundle,Jordan Peugeot,+0.710s,29
6,8,Jacques Villeneuve,Williams Renault,+1.048s,29
9,9,Olivier Panis,Ligier Mugen Honda,+1.408s,27
8,10,David Coulthard,McLaren Mercedes,+1.433s,21
7,11,Mika Hakkinen,McLaren Mercedes,+1.445s,30
15,12,Heinz-Harald Frentzen,Sauber Ford,+1.703s,30
21,13,Giancarlo Fisichella,Minardi Ford,+1.766s,28
14,14,Johnny Herbert,Sauber Ford,+1.929s,30
20,15,Pedro Lamy,Minardi Ford,+2.141s,26
10,16,Pedro Diniz,Ligier Mugen Honda,+2.203s,30
17,17,Jos Verstappen,Footwork Hart,+2.301s,30
18,18,Ukyo Katayama,Tyrrell Yamaha,+2.564s,30
22,19,Luca Badoer,Forti Ford,+3.170s,29
23,20,Andrea Montermini,Forti Ford,+3.317s,30
19,21,Mika Salo,Tyrrell Yamaha,+4.097s,8
16,22,Ricardo Rosset,Footwork Hart,+4.803s,23
