,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:21.059,11
6,2,Jacques Villeneuve,Williams Renault,1:21.079,12
1,3,Michael Schumacher,Ferrari,1:21.198,10
3,4,Jean Alesi,Benetton Renault,1:21.529,8
2,5,Eddie Irvine,Ferrari,1:21.657,9
7,6,Mika Hakkinen,McLaren Mercedes,1:21.807,12
4,7,Gerhard Berger,Benetton Renault,1:21.926,10
11,8,Rubens Barrichello,Jordan Peugeot,1:21.982,12
12,9,Martin Brundle,Jordan Peugeot,1:22.321,12
8,10,David Coulthard,McLaren Mercedes,1:22.332,11
9,11,Olivier Panis,Ligier Mugen Honda,1:22.481,11
15,12,Heinz-Harald Frentzen,Sauber Ford,1:22.875,11
17,13,Jos Verstappen,Footwork Hart,1:23.067,11
19,14,Mika Salo,Tyrrell Yamaha,1:23.118,11
14,15,Johnny Herbert,Sauber Ford,1:23.201,12
21,16,Giancarlo Fisichella,Minardi Ford,1:23.519,11
18,17,Ukyo Katayama,Tyrrell Yamaha,1:23.599,12
10,18,Pedro Diniz,Ligier Mugen Honda,1:23.959,11
20,19,Pedro Lamy,Minardi Ford,1:24.262,12
22,20,Luca Badoer,Forti Ford,1:25.012,7
16,21,Ricardo Rosset,Footwork Hart,1:25.193,12
23,22,Andrea Montermini,Forti Ford,1:26.109,4
