,Position,Driver,Car,Time
6,1,Nico Rosberg,Mercedes,1:42.758
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:43.966
5,3,Sebastian Vettel,Ferrari,1:43.966
7,4,Kimi Räikkönen,Ferrari,1:44.269
19,5,Felipe Massa,Williams Mercedes,1:44.483
26,6,Daniil Kvyat,Toro Rosso Ferrari,1:44.717
11,7,Sergio Perez,Force India Mercedes,1:43.515
77,8,Valtteri Bottas,Williams Mercedes,1:45.246
33,9,Max Verstappen,Red Bull Racing TAG Heuer,1:45.570
44,10,Lewis Hamilton,Mercedes,2:01.954
8,11,Romain Grosjean,Haas Ferrari,1:44.755
27,12,Nico Hulkenberg,Force India Mercedes,1:44.824
14,13,Fernando Alonso,McLaren Honda,1:45.270
21,14,Esteban Gutierrez ,Haas Ferrari,1:45.349
12,15,Felipe Nasr,Sauber Ferrari,1:46.048
88,16,Rio Haryanto,MRT Mercedes,1:45.665
94,17,Pascal Wehrlein,MRT Mercedes,1:45.750
55,18,Carlos Sainz,Toro Rosso Ferrari,1:45.000
22,19,Jenson Button,McLaren Honda,1:45.804
9,20,Marcus Ericsson,Sauber Ferrari,1:46.231
30,21,Jolyon Palmer,Renault,1:46.394
