,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:44.352,17
6,2,Nico Rosberg,Mercedes,+0.258s,22
27,3,Nico Hulkenberg,Force India Mercedes,+1.188s,18
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.268s,13
5,5,Sebastian Vettel,Ferrari,+1.278s,20
11,6,Sergio Perez,Force India Mercedes,+1.383s,17
33,7,Max Verstappen,Red Bull Racing TAG Heuer,+1.549s,14
22,8,Jenson Button,McLaren Honda,+1.602s,17
26,9,Daniil Kvyat,Toro Rosso Ferrari,+1.629s,19
7,10,Kimi Räikkönen,Ferrari,+1.672s,16
14,11,Fernando Alonso,McLaren Honda,+1.779s,16
55,12,Carlos Sainz,Toro Rosso Ferrari,+1.838s,17
8,13,Romain Grosjean,Haas Ferrari,+2.009s,21
19,14,Felipe Massa,Williams Mercedes,+2.158s,20
21,15,Esteban Gutierrez ,Haas Ferrari,+2.318s,21
20,16,Kevin Magnussen,Renault,+2.672s,16
94,17,Pascal Wehrlein,MRT Mercedes,+2.748s,19
30,18,Jolyon Palmer,Renault,+2.806s,18
9,19,Marcus Ericsson,Sauber Ferrari,+2.976s,14
12,20,Felipe Nasr,Sauber Ferrari,+3.027s,18
88,21,Rio Haryanto,MRT Mercedes,+3.204s,18
77,22,Valtteri Bottas,Williams Mercedes,,1
