,Position,Driver,Car,Laps,Time,Points
5,1,Nelson Piquet,Brabham Ford,72,1:38:13.830,9
16,2,Rene Arnoux,Renault,72,+12.930s,6
26,3,Jacques Laffite,Ligier Ford,72,+13.430s,4
28,4,Carlos Reutemann,Williams Ford,72,+15.290s,3
3,5,Jean-Pierre Jarier,Tyrrell Ford,72,+60.020s,2
8,6,Alain Prost,McLaren Ford,72,+82.620s,1
2,7,Gilles Villeneuve,Ferrari,71,+1 lap,0
11,8,Mario Andretti,Lotus Ford,70,DNF,0
1,9,Jody Scheckter,Ferrari,70,+2 laps,0
9,10,Marc Surer,ATS Ford,69,+3 laps,0
27,11,Alan  Jones,Williams Ford,69,+3 laps,0
4,NC,Derek Daly,Tyrrell Ford,60,DNF,0
23,NC,Bruno Giacomelli,Alfa Romeo,58,DNF,0
31,NC,Eddie  Cheever,Osella Ford,38,DNF,0
29,NC,Riccardo Patrese,Arrows Ford,29,DNF,0
15,NC,Jean-Pierre Jabouille,Renault,23,DNF,0
41,NC,Geoff Lees,Ensign Ford,21,DNF,0
22,NC,Vittorio Brambilla,Alfa Romeo,21,DNF,0
7,NC,John Watson,McLaren Ford,18,DNF,0
20,NC,Emerson Fittipaldi,Fittipaldi Ford,16,DNF,0
43,NC,Nigel Mansell,Lotus Ford,15,DNF,0
25,NC,Didier Pironi,Ligier Ford,2,DNF,0
12,NC,Elio de Angelis,Lotus Ford,2,DNF,0
6,NC,Hector Rebaque,Brabham Ford,1,DNF,0
