,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27
2,2,Mark Webber,Red Bull Racing Renault,1:44.472,1:36.524,1:27.827,26
10,3,Lewis Hamilton,Mercedes,1:45.456,1:36.625,1:28.087,29
4,4,Felipe Massa,Ferrari,1:44.635,1:36.666,1:28.490,23
3,5,Fernando Alonso,Ferrari,1:43.850,1:36.691,1:28.493,26
9,6,Nico Rosberg,Mercedes,1:43.380,1:36.194,1:28.523,28
7,7,Kimi Räikkönen,Lotus Renault,1:45.545,1:37.517,1:28.738,27
8,8,Romain Grosjean,Lotus Renault,1:44.284,1:37.641,1:29.013,25
14,9,Paul di Resta,Force India Mercedes,1:45.601,1:36.901,1:29.305,23
5,10,Jenson Button,McLaren Mercedes,1:44.688,1:36.644,1:30.357,24
11,11,Nico Hulkenberg,Sauber Ferrari,1:45.930,1:38.067,,19
15,12,Adrian Sutil,Force India Mercedes,1:47.330,1:38.134,,19
18,13,Jean-Eric Vergne,STR Ferrari,1:44.871,1:38.778,,19
19,14,Daniel Ricciardo,STR Ferrari,1:46.450,1:39.042,,20
6,15,Sergio Perez,McLaren Mercedes,1:44.300,1:39.900,,18
17,16,Valtteri Bottas,Williams Renault,1:47.328,1:40.290,,19
16,17,Pastor Maldonado,Williams Renault,1:47.614,,,11
12,18,Esteban Gutierrez ,Sauber Ferrari,1:47.776,,,10
22,19,Jules Bianchi,Marussia Cosworth,1:48.147,,,11
23,20,Max Chilton,Marussia Cosworth,1:48.909,,,11
21,21,Giedo van der Garde,Caterham Renault,1:49.519,,,11
20,NC,Charles Pic,Caterham Renault,1:50.626,,,10
