,Position,Driver,Car,Laps,Time,Points
5,1,Nelson Piquet,Brabham Ford,80,1:50:18.550,9
29,2,Riccardo Patrese,Arrows Ford,80,+49.210s,6
20,3,Emerson Fittipaldi,Fittipaldi Ford,80,+78.560s,4
7,4,John Watson,McLaren Ford,79,+1 lap,3
1,5,Jody Scheckter,Ferrari,79,+1 lap,2
25,6,Didier Pironi,Ligier Ford,79,+1 lap,1
30,7,Jochen Mass,Arrows Ford,79,+1 lap,0
4,8,Derek Daly,Tyrrell Ford,79,+1 lap,0
16,9,Rene Arnoux,Renault,78,+2 laps,0
15,10,Jean-Pierre Jabouille,Renault,71,+9 laps,0
21,NC,Keke Rosberg,Fittipaldi Ford,58,DNF,0
14,NC,Clay Regazzoni,Ensign Ford,50,DNF,0
23,NC,Bruno Giacomelli,Alfa Romeo,49,DNF,0
27,NC,Alan  Jones,Williams Ford,47,DNF,0
2,NC,Gilles Villeneuve,Ferrari,46,DNF,0
22,NC,Patrick Depailler,Alfa Romeo,40,DNF,0
26,NC,Jacques Laffite,Ligier Ford,36,DNF,0
31,NC,Eddie  Cheever,Osella Ford,11,DNF,0
28,NC,Carlos Reutemann,Williams Ford,3,DNF,0
3,NC,Jean-Pierre Jarier,Tyrrell Ford,3,DNF,0
12,NC,Elio de Angelis,Lotus Ford,3,DNF,0
6,NC,Ricardo Zunino,Brabham Ford,0,DNF,0
11,NC,Mario Andretti,Lotus Ford,0,DNF,0
9,NC,Jan Lammers,ATS Ford,0,DNF,0
