,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Honda,24,1:45.716
1,2,Alain Prost,McLaren TAG,24,1:46.807
6,3,Nelson Piquet,Williams Honda,39,1:47.517
12,4,Ayrton Senna,Lotus Honda,5,1:49.187
27,5,Michele Alboreto,Ferrari,5,1:49.509
9,6,Martin Brundle,Zakspeed,34,1:49.742
2,7,Stefan Johansson,McLaren TAG,22,1:49.778
20,8,Thierry Boutsen,Benetton Ford,4,1:49.864
8,9,Andrea de Cesaris,Brabham BMW,7,1:50.436
17,10,Derek Warwick,Arrows Megatron,17,1:50.608
28,11,Gerhard Berger,Ferrari,6,1:50.667
19,12,Teo Fabi,Benetton Ford,8,1:50.758
18,13,Eddie  Cheever,Arrows Megatron,8,1:51.014
11,14,Satoru Nakajima,Lotus Honda,6,1:51.054
24,15,Alessandro Nannini,Minardi Motori Moderni,6,1:52.382
26,16,Piercarlo Ghinzani,Ligier Megatron,5,1:52.512
7,17,Riccardo Patrese,Brabham BMW,3,1:53.002
25,18,Rene Arnoux,Ligier Megatron,2,1:53.433
4,19,Philippe Streiff,Tyrrell Ford,20,1:54.228
3,20,Jonathan  Palmer,Tyrrell Ford,20,1:54.294
10,21,Christian Danner,Zakspeed,7,1:54.464
23,22,Adrian Campos,Minardi Motori Moderni,23,1:54.705
30,23,Philippe Alliot,Lola Ford,7,1:54.771
21,24,Alex Caffi,Osella Alfa Romeo,5,1:55.549
16,25,Ivan Capelli,March Ford,6,1:57.292
14,26,Pascal Fabre,AGS Ford,2,1:58.770
