,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Honda,1:42.616
12,2,Ayrton Senna,Lotus Honda,1:42.873
1,3,Alain Prost,McLaren TAG,1:43.202
6,4,Nelson Piquet,Williams Honda,1:43.705
27,5,Michele Alboreto,Ferrari,1:43.921
20,6,Thierry Boutsen,Benetton Ford,1:45.066
8,7,Andrea de Cesaris,Brabham BMW,1:45.411
2,8,Stefan Johansson,McLaren TAG,1:45.428
19,9,Teo Fabi,Benetton Ford,1:45.497
28,10,Gerhard Berger,Ferrari,1:45.902
7,11,Riccardo Patrese,Brabham BMW,1:46.096
25,12,Rene Arnoux,Ligier Megatron,1:46.323
17,13,Derek Warwick,Arrows Megatron,1:46.525
11,14,Satoru Nakajima,Lotus Honda,1:46.760
18,15,Eddie  Cheever,Arrows Megatron,1:47.780
24,16,Alessandro Nannini,Minardi Motori Moderni,1:47.887
26,17,Piercarlo Ghinzani,Ligier Megatron,1:49.236
23,18,Adrian Campos,Minardi Motori Moderni,1:49.668
9,19,Martin Brundle,Zakspeed,1:51.062
10,20,Christian Danner,Zakspeed,1:51.448
30,21,Philippe Alliot,Lola Ford,1:52.760
4,22,Philippe Streiff,Tyrrell Ford,1:53.528
3,23,Jonathan  Palmer,Tyrrell Ford,1:54.491
16,24,Ivan Capelli,March Ford,1:54.616
14,25,Pascal Fabre,AGS Ford,1:54.997
21,26,Alex Caffi,Osella Alfa Romeo,2:07.753
