,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:53.860
3,2,Daniel Ricciardo,Red Bull Racing Renault,1:54.455
1,3,Sebastian Vettel,Red Bull Racing Renault,1:54.960
6,4,Nico Rosberg,Mercedes,1:55.143
14,5,Fernando Alonso,Ferrari,1:55.637
19,6,Felipe Massa,Williams Mercedes,1:56.147
77,7,Valtteri Bottas,Williams Mercedes,1:56.282
27,8,Nico Hulkenberg,Force India Mercedes,1:56.366
25,9,Jean-Eric Vergne,STR Renault,1:56.773
8,10,Romain Grosjean,Lotus Renault,1:57.079
7,11,Kimi Räikkönen,Ferrari,1:56.860
22,12,Jenson Button,McLaren Mercedes,1:56.963
26,13,Daniil Kvyat,STR Renault,1:57.289
99,14,Adrian Sutil,Sauber Ferrari,1:57.393
20,15,Kevin Magnussen,McLaren Mercedes,1:57.675
11,16,Sergio Perez,Force India Mercedes,1:58.264
21,17,Esteban Gutierrez ,Sauber Ferrari,1:58.988
10,18,Kamui Kobayashi,Caterham Renault,1:59.260
17,19,Jules Bianchi,Marussia Ferrari,1:59.326
9,20,Marcus Ericsson,Caterham Renault,2:00.646
4,21,Max Chilton,Marussia Ferrari,2:00.865
13,22,Pastor Maldonado,Lotus Renault,
