,Position,Driver,Car,Time / Gap,Laps
14,1,Fernando Alonso,Ferrari,1:39.783,20
6,2,Nico Rosberg,Mercedes,+0.398s,16
3,3,Daniel Ricciardo,Red Bull Racing Renault,+0.989s,23
22,4,Jenson Button,McLaren Mercedes,+1.187s,23
27,5,Nico Hulkenberg,Force India Mercedes,+1.392s,16
20,6,Kevin Magnussen,McLaren Mercedes,+1.583s,20
25,7,Jean-Eric Vergne,STR Renault,+1.722s,26
44,8,Lewis Hamilton,Mercedes,+1.777s,9
1,9,Sebastian Vettel,Red Bull Racing Renault,+1.846s,19
19,10,Felipe Massa,Williams Mercedes,+1.916s,14
26,11,Daniil Kvyat,STR Renault,+2.194s,23
8,12,Romain Grosjean,Lotus Renault,+2.307s,24
40,13,Felipe Nasr,Williams Mercedes,+2.482s,13
36,14,Giedo van der Garde,Sauber Ferrari,+2.832s,16
11,15,Sergio Perez,Force India Mercedes,+2.950s,13
13,16,Pastor Maldonado,Lotus Renault,+3.948s,22
10,17,Kamui Kobayashi,Caterham Renault,+4.255s,16
21,18,Esteban Gutierrez ,Sauber Ferrari,+4.379s,17
17,19,Jules Bianchi,Marussia Ferrari,+4.487s,7
4,20,Max Chilton,Marussia Ferrari,+4.999s,20
9,21,Marcus Ericsson,Caterham Renault,+5.052s,22
7,22,Kimi Räikkönen,Ferrari,,1
