,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:55.516,1:54.029,1:53.860,21
3,2,Daniel Ricciardo,Red Bull Racing Renault,1:56.641,1:55.302,1:54.455,23
1,3,Sebastian Vettel,Red Bull Racing Renault,1:55.926,1:54.499,1:54.960,23
6,4,Nico Rosberg,Mercedes,1:56.058,1:55.294,1:55.143,22
14,5,Fernando Alonso,Ferrari,1:56.961,1:55.765,1:55.637,21
19,6,Felipe Massa,Williams Mercedes,1:56.850,1:56.757,1:56.147,24
77,7,Valtteri Bottas,Williams Mercedes,1:56.501,1:56.253,1:56.282,24
27,8,Nico Hulkenberg,Force India Mercedes,1:55.913,1:56.847,1:56.366,23
25,9,Jean-Eric Vergne,STR Renault,1:57.477,1:56.584,1:56.773,23
8,10,Romain Grosjean,Lotus Renault,1:58.411,1:56.407,1:57.079,22
7,11,Kimi Räikkönen,Ferrari,1:58.279,1:56.860,,17
22,12,Jenson Button,McLaren Mercedes,1:57.783,1:56.963,,17
26,13,Daniil Kvyat,STR Renault,1:57.261,1:57.289,,18
99,14,Adrian Sutil,Sauber Ferrari,1:58.138,1:57.393,,17
20,15,Kevin Magnussen,McLaren Mercedes,1:57.369,1:57.675,,17
11,16,Sergio Perez,Force India Mercedes,1:58.362,1:58.264,,17
21,17,Esteban Gutierrez ,Sauber Ferrari,1:58.988,,,10
10,18,Kamui Kobayashi,Caterham Renault,1:59.260,,,10
17,19,Jules Bianchi,Marussia Ferrari,1:59.326,,,10
9,20,Marcus Ericsson,Caterham Renault,2:00.646,,,10
4,21,Max Chilton,Marussia Ferrari,2:00.865,,,10
13,22,Pastor Maldonado,Lotus Renault,,,,0
