,Position,Driver,Car,Time
28,1,Nino Farina,Ferrari,2:47.500
30,2,Piero  Taruffi,Ferrari,2:50.100
8,3,Robert  Manzon,Gordini,2:52.100
32,4,Andre  Simon,Ferrari,2:52.400
42,5,Rudi  Fischer ,Ferrari,2:53.300
18,6,Peter Collins,HWM Alta,2:55.900
6,7,Jean Behra,Gordini,2:55.900
38,8,Toulo de Graffenried,Maserati Plate,2:56.400
46,9,Stirling Moss,HWM Alta,2:56.400
16,10,George  Abecassis ,HWM Alta,2:56.900
10,11,Prince Bira,Gordini,2:59.300
20,12,Lance Macklin,HWM Alta,3:00.200
22,13,Ken  Wharton,Cooper Bristol,3:00.900
2,14,Hans Von Stuck,AFM Kuchen,3:01.700
26,15,Alan Brown,Cooper Bristol,3:02.500
4,16,Toni Ulmen,Veritas,3:05.600
24,17,Eric  Brandon,Cooper Bristol,3:05.800
40,18,Harry Schell,Maserati Plate,3:07.600
44,19,Peter Hirt,Ferrari,3:10.200
12,20,Louis  Rosier,Ferrari,
50,21,Max de Terra,Simca-Gordini,
