,Position,Driver,Car,Laps,Time,Points
30,1,Piero  Taruffi,Ferrari,62,3:01:46.100,9
42,2,Rudi  Fischer ,Ferrari,62,+157.200s,6
6,3,Jean Behra,Gordini,61,+1 lap,4
22,4,Ken  Wharton,Frazer Nash,60,+2 laps,3
26,5,Alan Brown,Cooper Bristol,59,+3 laps,2
38,6,Toulo de Graffenried,Maserati Plate,58,+4 laps,0
44,7,Peter Hirt,Ferrari,56,+6 laps,0
24,8,Eric  Brandon,Cooper Bristol,55,+7 laps,0
10,NC,Prince Bira,Gordini,52,DNF,0
32,NC,Nino Farina,Ferrari,51,DNF,0
40,NC,Harry Schell,Maserati Plate,31,DNF,0
46,NC,Stirling Moss,HWM Alta,24,DNF,0
20,NC,Lance Macklin,HWM Alta,24,DNF,0
8,NC,Robert  Manzon,Gordini,20,DNF,0
28,NC,Nino Farina,Ferrari,16,DNF,0
18,NC,Peter Collins,HWM Alta,12,DNF,0
16,NC,George  Abecassis ,HWM Alta,12,DNF,0
4,NC,Toni Ulmen,Veritas,4,DNF,0
2,NC,Hans Von Stuck,AFM Kuchen,4,DNF,0
12,NC,Louis  Rosier,Ferrari,2,DNF,0
50,NC,Max de Terra,Simca-Gordini,1,DNF,0
