,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:36.251,16
23,2,Alexander Albon,Red Bull Racing Honda,+0.501s,15
3,3,Daniel Ricciardo,Renault,+0.626s,12
31,4,Esteban Ocon,Renault,+0.648s,15
4,5,Lando Norris,McLaren Renault,+0.743s,13
44,6,Lewis Hamilton,Mercedes,+0.761s,16
18,7,Lance Stroll,Racing Point BWT Mercedes,+0.779s,16
55,8,Carlos Sainz,McLaren Renault,+0.817s,12
77,9,Valtteri Bottas,Mercedes,+0.834s,16
11,10,Sergio Perez,Racing Point BWT Mercedes,+0.976s,13
26,11,Daniil Kvyat,AlphaTauri Honda,+1.015s,17
16,12,Charles Leclerc,Ferrari,+1.019s,14
10,13,Pierre Gasly,AlphaTauri Honda,+1.120s,18
5,14,Sebastian Vettel,Ferrari,+1.477s,16
63,15,George Russell,Williams Mercedes,+1.635s,16
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.649s,16
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.018s,16
20,18,Kevin Magnussen,Haas Ferrari,+2.206s,14
6,19,Nicholas Latifi,Williams Mercedes,+2.514s,17
51,20,Pietro Fittipaldi,Haas Ferrari,+2.908s,15
