,Position,Driver,Car,Time
8,1,Ayrton Senna,McLaren Ford,1:13.371
2,2,Alain Prost,Williams Renault,1:13.807
0,3,Damon Hill,Williams Renault,1:13.826
5,4,Michael Schumacher,Benetton Ford,1:14.098
7,5,Mika Hakkinen,McLaren Ford,1:14.106
28,6,Gerhard Berger,Ferrari,1:14.194
27,7,Jean Alesi,Ferrari,1:15.332
25,8,Martin Brundle,Ligier Renault,1:16.022
6,9,Riccardo Patrese,Benetton Ford,1:16.077
10,10,Aguri Suzuki,Footwork Mugen Honda,1:16.079
29,11,Karl Wendlinger,Sauber,1:16.106
30,12,Jyrki Jarvilehto,Sauber,1:16.286
14,13,Rubens Barrichello,Jordan Hart,1:16.459
26,14,Mark Blundell,Ligier Renault,1:16.469
4,15,Andrea de Cesaris,Tyrrell Yamaha,1:16.892
24,16,Pierluigi Martini,Minardi Ford,1:16.905
9,17,Derek Warwick,Footwork Mugen Honda,1:16.919
3,18,Ukyo Katayama,Tyrrell Yamaha,1:17.018
15,19,Eddie Irvine,Jordan Hart,1:17.341
12,20,Johnny Herbert,Lotus Ford,1:17.450
20,21,Erik Comas,Larrousse Lamborghini,1:17.750
23,22,Jean-Marc Gounon,Minardi Ford,1:17.754
11,23,Pedro Lamy,Lotus Ford,1:19.369
19,24,Toshio  Suzuki,Larrousse Lamborghini,1:21.793
