,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,64,1:15.381
2,2,Alain Prost,Williams Renault,66,1:15.434
8,3,Ayrton Senna,McLaren Ford,70,1:16.128
28,4,Gerhard Berger,Ferrari,74,1:16.686
5,5,Michael Schumacher,Benetton Ford,17,1:17.069
6,6,Riccardo Patrese,Benetton Ford,67,1:17.478
25,7,Martin Brundle,Ligier Renault,63,1:17.565
27,8,Jean Alesi,Ferrari,40,1:17.786
29,9,Karl Wendlinger,Sauber,50,1:18.101
26,10,Mark Blundell,Ligier Renault,53,1:18.314
10,11,Aguri Suzuki,Footwork Mugen Honda,49,1:18.316
30,12,Jyrki Jarvilehto,Sauber,49,1:18.430
14,13,Rubens Barrichello,Jordan Hart,53,1:18.558
9,14,Derek Warwick,Footwork Mugen Honda,55,1:18.905
7,15,Mika Hakkinen,McLaren Ford,17,1:18.960
20,16,Erik Comas,Larrousse Lamborghini,76,1:19.152
12,17,Johnny Herbert,Lotus Ford,8,1:20.502
4,18,Andrea de Cesaris,Tyrrell Yamaha,36,1:20.625
24,19,Pierluigi Martini,Minardi Ford,5,1:21.175
23,20,Jean-Marc Gounon,Minardi Ford,34,1:21.678
15,21,Eddie Irvine,Jordan Hart,9,1:21.742
3,22,Ukyo Katayama,Tyrrell Yamaha,5,1:22.143
19,23,Toshio  Suzuki,Larrousse Lamborghini,52,1:22.328
