,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:13.643
8,2,Ayrton Senna,McLaren Ford,+0.372s
5,3,Michael Schumacher,Benetton Ford,+0.774s
7,4,Mika Hakkinen,McLaren Ford,+0.847s
27,5,Jean Alesi,Ferrari,+0.894s
28,6,Gerhard Berger,Ferrari,+0.932s
0,7,Damon Hill,Williams Renault,+1.138s
10,8,Aguri Suzuki,Footwork Mugen Honda,+1.978s
25,9,Martin Brundle,Ligier Renault,+2.376s
6,10,Riccardo Patrese,Benetton Ford,+2.474s
29,11,Karl Wendlinger,Sauber,+2.538s
15,12,Eddie Irvine,Jordan Hart,+3.056s
26,13,Mark Blundell,Ligier Renault,+3.262s
30,14,Jyrki Jarvilehto,Sauber,+3.346s
12,15,Johnny Herbert,Lotus Ford,+3.404s
14,16,Rubens Barrichello,Jordan Hart,+3.406s
3,17,Ukyo Katayama,Tyrrell Yamaha,+3.536s
24,18,Pierluigi Martini,Minardi Ford,+3.890s
23,19,Jean-Marc Gounon,Minardi Ford,+5.005s
20,20,Erik Comas,Larrousse Lamborghini,+5.824s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+6.911s
19,22,Toshio  Suzuki,Larrousse Lamborghini,+7.503s
11,23,Pedro Lamy,Lotus Ford,+7.765s
