,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:13.854
0,2,Damon Hill,Williams Renault,+0.224s
8,3,Ayrton Senna,McLaren Ford,+0.262s
5,4,Michael Schumacher,Benetton Ford,+0.353s
6,5,Riccardo Patrese,Benetton Ford,+0.866s
7,6,Mika Hakkinen,McLaren Ford,+1.363s
10,7,Aguri Suzuki,Footwork Mugen Honda,+1.541s
28,8,Gerhard Berger,Ferrari,+2.040s
14,9,Rubens Barrichello,Jordan Hart,+2.122s
29,10,Karl Wendlinger,Sauber,+2.185s
9,11,Derek Warwick,Footwork Mugen Honda,+2.254s
26,12,Mark Blundell,Ligier Renault,+2.282s
30,13,Jyrki Jarvilehto,Sauber,+2.344s
25,14,Martin Brundle,Ligier Renault,+2.447s
15,15,Eddie Irvine,Jordan Hart,+2.465s
4,16,Andrea de Cesaris,Tyrrell Yamaha,+2.709s
12,17,Johnny Herbert,Lotus Ford,+2.906s
24,18,Pierluigi Martini,Minardi Ford,+2.918s
3,19,Ukyo Katayama,Tyrrell Yamaha,+3.326s
23,20,Jean-Marc Gounon,Minardi Ford,+3.371s
11,21,Pedro Lamy,Lotus Ford,+4.554s
27,22,Jean Alesi,Ferrari,+4.599s
20,23,Erik Comas,Larrousse Lamborghini,+5.275s
19,24,Toshio  Suzuki,Larrousse Lamborghini,+10.337s
