,Position,Driver,Car,Time / Gap,Laps
1,1,Lewis Hamilton,McLaren Mercedes,1:47.201,29
10,2,Timo Glock,Toyota,+0.016s,29
4,3,Kimi Räikkönen,Ferrari,+0.084s,26
14,4,Mark Webber,RBR Renault,+0.128s,31
8,5,Romain Grosjean,Renault,+0.132s,34
21,6,Giancarlo Fisichella,Force India Mercedes,+0.305s,27
9,7,Jarno Trulli,Toyota,+0.358s,33
5,8,Robert Kubica,Sauber BMW,+0.377s,33
11,9,Jaime Alguersuari,STR Ferrari,+0.378s,36
15,10,Sebastian Vettel,RBR Renault,+0.401s,25
12,11,Sebastien Buemi,STR Ferrari,+0.501s,38
2,12,Heikki Kovalainen,McLaren Mercedes,+0.542s,33
20,13,Adrian Sutil,Force India Mercedes,+0.589s,29
7,14,Fernando Alonso,Renault,+0.661s,30
17,15,Kazuki Nakajima,Williams Toyota,+0.760s,32
6,16,Nick Heidfeld,Sauber BMW,+0.816s,30
22,17,Jenson Button,Brawn Mercedes,+0.924s,34
23,18,Rubens Barrichello,Brawn Mercedes,+0.929s,37
16,19,Nico Rosberg,Williams Toyota,+1.159s,29
3,20,Luca Badoer,Ferrari,+2.010s,30
