,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Juan Pablo Montoya,Williams BMW,38,1:38.049,203.518
5,2,Ralf Schumacher,Williams BMW,29,1:38.369,202.856
1,3,Michael Schumacher,Ferrari,53,1:38.754,202.065
2,4,Rubens Barrichello,Ferrari,20,1:38.931,201.704
24,5,Mika Salo,Toyota,47,1:39.649,200.250
4,6,Kimi Räikkönen,McLaren Mercedes,21,1:39.800,199.947
15,7,Jenson Button,Renault,28,1:40.011,199.526
20,8,Heinz-Harald Frentzen,Arrows Cosworth,54,1:40.267,199.016
7,9,Nick Heidfeld,Sauber Petronas,18,1:40.575,198.407
17,10,Pedro de la Rosa,Jaguar Cosworth,52,1:40.675,198.210
10,11,Takuma Sato,Jordan Honda,51,1:41.181,197.218
25,12,Allan McNish,Toyota,38,1:41.321,196.946
8,13,Felipe Massa,Sauber Petronas,25,1:41.324,196.940
9,14,Giancarlo Fisichella,Jordan Honda,49,1:41.410,196.773
3,15,David Coulthard,McLaren Mercedes,10,1:41.455,196.686
21,16,Enrique Bernoldi,Arrows Cosworth,19,1:41.891,195.844
16,17,Eddie Irvine,Jaguar Cosworth,20,1:42.323,195.017
11,18,Jacques Villeneuve,BAR Honda,45,1:42.373,194.922
23,19,Mark Webber,Minardi Asiatech,20,1:43.125,193.501
22,20,Alex Yoong,Minardi Asiatech,18,1:43.190,193.379
12,21,Olivier Panis,BAR Honda,9,1:43.567,192.675
14,22,Jarno Trulli,Renault,6,1:43.702,192.424
