,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:35.266,9
6,2,Juan Pablo Montoya,Williams BMW,1:35.497,11
2,3,Rubens Barrichello,Ferrari,1:35.891,12
5,4,Ralf Schumacher,Williams BMW,1:36.028,12
4,5,Kimi Räikkönen,McLaren Mercedes,1:36.468,11
3,6,David Coulthard,McLaren Mercedes,1:36.477,12
7,7,Nick Heidfeld,Sauber Petronas,1:37.199,10
15,8,Jenson Button,Renault,1:37.245,9
9,9,Giancarlo Fisichella,Jordan Honda,1:37.536,12
24,10,Mika Salo,Toyota,1:37.694,11
20,11,Heinz-Harald Frentzen,Arrows Cosworth,1:37.919,12
14,12,Jarno Trulli,Renault,1:37.920,11
11,13,Jacques Villeneuve,BAR Honda,1:38.039,11
8,14,Felipe Massa,Sauber Petronas,1:38.057,10
10,15,Takuma Sato,Jordan Honda,1:38.141,11
21,16,Enrique Bernoldi,Arrows Cosworth,1:38.284,10
17,17,Pedro de la Rosa,Jaguar Cosworth,1:38.374,12
12,18,Olivier Panis,BAR Honda,1:38.390,7
25,19,Allan McNish,Toyota,1:38.959,10
16,20,Eddie Irvine,Jaguar Cosworth,1:39.121,11
23,21,Mark Webber,Minardi Asiatech,1:39.454,12
22,22,Alex Yoong,Minardi Asiatech,1:40.158,12
