,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,56,1:39:17.148,25
8,2,Romain Grosjean,Lotus Renault,56,+6.284s,18
2,3,Mark Webber,Red Bull Racing Renault,56,+8.396s,15
10,4,Lewis Hamilton,Mercedes,56,+27.358s,12
3,5,Fernando Alonso,Ferrari,56,+29.592s,10
11,6,Nico Hulkenberg,Sauber Ferrari,56,+30.400s,8
6,7,Sergio Perez,McLaren Mercedes,56,+46.692s,6
17,8,Valtteri Bottas,Williams Renault,56,+54.509s,4
9,9,Nico Rosberg,Mercedes,56,+59.141s,2
5,10,Jenson Button,McLaren Mercedes,56,+77.278s,1
19,11,Daniel Ricciardo,STR Ferrari,56,+81.004s,0
4,12,Felipe Massa,Ferrari,56,+86.914s,0
12,13,Esteban Gutierrez ,Sauber Ferrari,56,+91.707s,0
7,14,Heikki Kovalainen,Lotus Renault,56,+95.063s,0
14,15,Paul di Resta,Force India Mercedes,56,+96.853s,0
18,16,Jean-Eric Vergne,STR Ferrari,56,+104.574s,0
16,17,Pastor Maldonado,Williams Renault,55,+1 lap,0
22,18,Jules Bianchi,Marussia Cosworth,55,+1 lap,0
21,19,Giedo van der Garde,Caterham Renault,55,+1 lap,0
20,20,Charles Pic,Caterham Renault,55,+1 lap,0
23,21,Max Chilton,Marussia Cosworth,54,+2 laps,0
15,NC,Adrian Sutil,Force India Mercedes,0,DNF,0
