,Position,Driver,Car,Time,Laps
2,1,David Coulthard,McLaren Mercedes,1:45.697,6
3,2,Michael Schumacher,Ferrari,1:47.063,10
11,3,Giancarlo Fisichella,Benetton Playlife,1:47.130,8
1,4,Mika Hakkinen,McLaren Mercedes,1:47.162,9
18,5,Pedro de la Rosa,Arrows Supertec,1:47.786,7
6,6,Jarno Trulli,Jordan Mugen Honda,1:47.833,7
12,7,Alexander Wurz,Benetton Playlife,1:48.037,7
8,8,Johnny Herbert,Jaguar Cosworth,1:48.078,6
22,9,Jacques Villeneuve,BAR Honda,1:48.121,7
7,10,Eddie Irvine,Jaguar Cosworth,1:48.305,9
19,11,Jos Verstappen,Arrows Supertec,1:48.321,7
23,12,Ricardo Zonta,BAR Honda,1:48.665,10
15,13,Nick Heidfeld,Prost Peugeot,1:48.690,11
9,14,Ralf Schumacher,Williams BMW,1:48.841,9
17,15,Mika Salo,Sauber Petronas,1:49.204,8
10,16,Jenson Button,Williams BMW,1:49.215,8
5,17,Heinz-Harald Frentzen,Jordan Mugen Honda,1:49.280,11
4,18,Rubens Barrichello,Ferrari,1:49.544,10
16,19,Pedro Diniz,Sauber Petronas,1:49.936,10
14,20,Jean Alesi,Prost Peugeot,1:50.289,9
21,21,Gaston Mazzacane,Minardi Fondmetal,1:51.611,9
20,22,Marc Gene,Minardi Fondmetal,1:53.094,7
