,Position,Driver,Car,Time / Gap,Laps
4,1,David Coulthard,McLaren Mercedes,1:27.540,30
1,2,Michael Schumacher,Ferrari,+0.021s,16
3,3,Mika Hakkinen,McLaren Mercedes,+0.235s,25
11,4,Heinz-Harald Frentzen,Jordan Honda,+0.400s,20
12,5,Jarno Trulli,Jordan Honda,+0.653s,25
5,6,Ralf Schumacher,Williams BMW,+1.126s,21
9,7,Olivier Panis,BAR Honda,+1.137s,30
17,8,Kimi Räikkönen,Sauber Petronas,+1.311s,17
18,9,Eddie Irvine,Jaguar Cosworth,+1.321s,27
16,10,Nick Heidfeld,Sauber Petronas,+1.355s,25
10,11,Jacques Villeneuve,BAR Honda,+1.422s,27
6,12,Juan Pablo Montoya,Williams BMW,+1.644s,23
2,13,Rubens Barrichello,Ferrari,+2.405s,6
22,14,Jean Alesi,Prost Acer,+2.441s,24
21,15,Fernando Alonso,Minardi European,+2.820s,28
7,16,Giancarlo Fisichella,Benetton Renault,+3.009s,27
19,17,Luciano Burti,Jaguar Cosworth,+3.038s,17
15,18,Enrique Bernoldi,Arrows Asiatech,+3.242s,34
8,19,Jenson Button,Benetton Renault,+3.353s,12
14,20,Jos Verstappen,Arrows Asiatech,+4.050s,10
23,21,Gaston Mazzacane,Prost Acer,+6.891s,9
20,22,Tarso Marques,Minardi European,+6.951s,17
