,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Fernando Alonso,Ferrari,1:16.073,1:38.521,1:40.621,23
1,2,Sebastian Vettel,Red Bull Racing Renault,1:16.393,1:38.309,1:41.026,23
2,3,Mark Webber,Red Bull Racing Renault,1:16.500,1:39.382,1:41.496,24
7,4,Michael Schumacher,Mercedes,1:16.686,1:38.010,1:42.459,24
12,5,Nico Hulkenberg,Force India Mercedes,1:16.271,1:39.467,1:43.501,24
18,6,Pastor Maldonado,Williams Renault,1:16.181,1:38.731,1:43.950,27
3,7,Jenson Button,McLaren Mercedes,1:16.507,1:38.659,1:44.113,20
4,8,Lewis Hamilton,McLaren Mercedes,1:16.221,1:37.365,1:44.186,18
11,9,Paul di Resta,Force India Mercedes,1:16.352,1:39.703,1:44.889,26
9,10,Kimi Räikkönen,Lotus Renault,1:15.693,1:39.729,1:45.811,20
16,11,Daniel Ricciardo,STR Ferrari,1:16.516,1:39.789,,15
15,12,Sergio Perez,Sauber Ferrari,1:15.726,1:39.933,,17
14,13,Kamui Kobayashi,Sauber Ferrari,1:16.481,1:39.985,,16
6,14,Felipe Massa,Ferrari,1:16.265,1:40.212,,17
10,15,Romain Grosjean,Lotus Renault,1:16.685,1:40.574,,18
19,16,Bruno Senna,Williams Renault,1:16.426,1:40.752,,21
8,17,Nico Rosberg,Mercedes,1:15.988,1:41.551,,18
17,18,Jean-Eric Vergne,STR Ferrari,1:16.741,,,9
20,19,Heikki Kovalainen,Caterham Renault,1:17.620,,,8
21,20,Vitaly Petrov,Caterham Renault,1:18.531,,,9
25,21,Charles Pic,Marussia Cosworth,1:19.220,,,12
24,22,Timo Glock,Marussia Cosworth,1:19.291,,,11
22,23,Pedro de la Rosa,HRT Cosworth,1:19.912,,,8
23,24,Narain Karthikeyan,HRT Cosworth,1:20.230,,,10
