,Position,Driver,Car,Time
28,1,Gerhard Berger,McLaren Honda,1:17.227
14,1,Olivier Grouillard,Osella Ford,1:25.281
29,2,Eric Bernard,Lola Lamborghini,1:25.456
6,2,Riccardo Patrese,Williams Renault,1:17.498
27,3,Ayrton Senna,McLaren Honda,1:17.670
33,3,Roberto Moreno,Euro Brun Judd,1:26.724
2,4,Nigel Mansell,Ferrari,1:17.732
30,4,Aguri Suzuki,Lola Lamborghini,1:27.511
5,5,Thierry Boutsen,Williams Renault,1:17.883
18,5,Yannick Dalmas,AGS Ford,1:27.830
17,6,Gabriele Tarquini,AGS Ford,1:28.499
4,6,Jean Alesi,Tyrrell Ford,1:18.282
23,7,Pierluigi Martini,Minardi Ford,1:18.526
31,7,Bertrand Gachot,Coloni Subaru,1:28.805
34,8,Claudio Langes,Euro Brun Judd,1:40.414
20,8,Nelson Piquet,Benetton Ford,1:18.561
39,9,Bruno Giacomelli,Life,4:07.475
3,9,Satoru Nakajima,Tyrrell Ford,1:18.575
8,10,Stefano Modena,Brabham Judd,1:18.592
11,11,Derek Warwick,Lotus Lamborghini,1:18.951
12,12,Martin Donnelly,Lotus Lamborghini,1:18.994
1,13,Alain Prost,Ferrari,1:19.026
19,14,Alessandro Nannini,Benetton Ford,1:19.227
22,15,Andrea de Cesaris,Dallara Ford,1:19.865
24,16,Paolo Barilla,Minardi Ford,1:19.897
9,17,Michele Alboreto,Arrows Ford,1:19.941
21,18,Emanuele Pirro,Dallara Ford,1:20.044
7,21,David Brabham,Brabham Judd,1:20.447
26,22,Philippe Alliot,Ligier Ford,1:20.657
35,23,Gregor Foitek,Onyx Ford,1:21.012
25,24,Nicola Larini,Ligier Ford,1:21.116
36,26,Jyrki Jarvilehto,Onyx Ford,1:21.519
16,27,Ivan Capelli,Leyton House Judd,1:21.544
15,28,Mauricio Gugelmin,Leyton House Judd,1:21.665
10,29,Alex Caffi,Arrows Ford,1:22.154
