,Position,Driver,Car,Laps,Time,Points
7,1,David Coulthard,McLaren Mercedes,62,1:34:24.593,10
3,2,Michael Schumacher,Ferrari,62,+4.554s,6
4,3,Eddie Irvine,Ferrari,62,+51.776s,4
1,4,Jacques Villeneuve,Williams Mecachrome,62,+54.590s,3
2,5,Heinz-Harald Frentzen,Williams Mecachrome,62,+77.477s,2
14,6,Jean Alesi,Sauber Petronas,61,+1 lap,1
10,7,Ralf Schumacher,Jordan Mugen Honda,60,+2 laps,0
23,8,Esteban Tuero,Minardi Ford,60,+2 laps,0
17,9,Mika Salo,Arrows,60,+2 laps,0
9,10,Damon Hill,Jordan Mugen Honda,57,DNF,0
11,11,Olivier Panis,Prost Peugeot,56,DNF,0
20,NC,Ricardo Rosset,Tyrrell Ford,48,DNF,0
21,NC,Toranosuke Takagi,Tyrrell Ford,40,DNF,0
12,NC,Jarno Trulli,Prost Peugeot,34,DNF,0
22,NC,Shinji Nakano,Minardi Ford,27,DNF,0
16,NC,Pedro Diniz,Arrows,18,DNF,0
8,NC,Mika Hakkinen,McLaren Mercedes,17,DNF,0
5,NC,Giancarlo Fisichella,Benetton Playlife,17,DNF,0
6,NC,Alexander Wurz,Benetton Playlife,17,DNF,0
15,NC,Johnny Herbert,Sauber Petronas,12,DNF,0
19,NC,Jan Magnussen,Stewart Ford,8,DNF,0
18,NC,Rubens Barrichello,Stewart Ford,0,DNF,0
