,Position,Driver,Car,Time
7,1,David Coulthard,McLaren Mercedes,1:25.973
8,2,Mika Hakkinen,McLaren Mercedes,1:26.075
3,3,Michael Schumacher,Ferrari,1:26.437
4,4,Eddie Irvine,Ferrari,1:27.169
6,5,Alexander Wurz,Benetton Playlife,1:27.273
1,6,Jacques Villeneuve,Williams Mecachrome,1:27.390
9,7,Damon Hill,Jordan Mugen Honda,1:27.592
2,8,Heinz-Harald Frentzen,Williams Mecachrome,1:27.645
10,9,Ralf Schumacher,Jordan Mugen Honda,1:27.866
5,10,Giancarlo Fisichella,Benetton Playlife,1:27.937
15,11,Johnny Herbert,Sauber Petronas,1:28.111
14,12,Jean Alesi,Sauber Petronas,1:28.191
11,13,Olivier Panis,Prost Peugeot,1:28.270
17,14,Mika Salo,Arrows,1:28.798
21,15,Toranosuke Takagi,Tyrrell Ford,1:29.073
12,16,Jarno Trulli,Prost Peugeot,1:29.584
18,17,Rubens Barrichello,Stewart Ford,1:29.641
16,18,Pedro Diniz,Arrows,1:29.932
23,19,Esteban Tuero,Minardi Ford,1:30.649
19,20,Jan Magnussen,Stewart Ford,1:31.017
22,21,Shinji Nakano,Minardi Ford,1:31.255
20,22,Ricardo Rosset,Tyrrell Ford,1:31.482
