,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Michael Schumacher,Ferrari,46,1:29.345,198.645
7,2,David Coulthard,McLaren Mercedes,21,1:29.497,198.308
1,3,Jacques Villeneuve,Williams Mecachrome,55,1:29.726,197.802
8,4,Mika Hakkinen,McLaren Mercedes,15,1:30.115,196.948
4,5,Eddie Irvine,Ferrari,58,1:30.206,196.749
2,6,Heinz-Harald Frentzen,Williams Mecachrome,39,1:30.283,196.581
14,7,Jean Alesi,Sauber Petronas,23,1:30.391,196.346
11,8,Olivier Panis,Prost Peugeot,53,1:30.481,196.151
9,9,Damon Hill,Jordan Mugen Honda,53,1:30.859,195.335
17,10,Mika Salo,Arrows,19,1:31.267,194.462
6,11,Alexander Wurz,Benetton Playlife,14,1:31.562,193.835
10,12,Ralf Schumacher,Jordan Mugen Honda,20,1:31.837,193.255
5,13,Giancarlo Fisichella,Benetton Playlife,15,1:31.969,192.978
15,14,Johnny Herbert,Sauber Petronas,9,1:32.215,192.463
12,15,Jarno Trulli,Prost Peugeot,9,1:32.361,192.159
21,16,Toranosuke Takagi,Tyrrell Ford,21,1:32.430,192.015
16,17,Pedro Diniz,Arrows,11,1:32.988,190.863
23,18,Esteban Tuero,Minardi Ford,53,1:33.443,189.933
22,19,Shinji Nakano,Minardi Ford,21,1:33.889,189.031
20,20,Ricardo Rosset,Tyrrell Ford,9,1:34.491,187.827
19,21,Jan Magnussen,Stewart Ford,5,1:35.069,186.685
